,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,3279,volatile,0.0
1,0.0,0,-0.76,-0.69,662,volatile,0.0
2,0.0,0,-0.73,-0.52,983,volatile,0.0
3,1.0,0,-0.41,-0.43,658,volatile,0.0
4,1.0,1,-0.25,-0.34,570,volatile,0.0
5,0.0,0,-0.34,-0.48,937,volatile,0.0
6,1.0,0,-0.3,-0.35,644,volatile,0.0
7,1.0,0,-0.91,-0.42,571,volatile,0.0
8,1.0,0,-0.7,-0.44,782,volatile,0.0
9,1.0,1,-0.64,-0.5,856,volatile,0.0
10,0.0,0,-0.28,-0.19,1264,volatile,0.0
11,1.0,0,-0.02,-0.59,1770,volatile,0.0
12,1.0,0,-0.2,-0.09,792,volatile,0.0
13,1.0,0,-0.32,-0.76,691,volatile,0.0
14,1.0,0,-0.09,-0.98,711,volatile,0.0
15,1.0,1,-0.62,-0.56,745,volatile,0.0
16,1.0,0,-0.17,-0.16,849,volatile,0.0
17,1.0,0,-0.74,-0.07,847,volatile,0.0
18,1.0,0,-0.02,-0.41,655,volatile,0.0
19,1.0,0,-0.7,-0.57,641,volatile,0.0
20,1.0,1,-0.24,-0.28,682,volatile,0.0
21,1.0,1,-0.59,-0.76,981,volatile,0.0
22,0.0,0,-0.15,-0.19,615,volatile,0.0
23,1.0,1,-0.5,-0.68,630,volatile,0.0
24,0.0,0,-0.43,-0.68,633,volatile,0.0
25,1.0,1,-0.14,-0.19,717,volatile,0.0
26,1.0,1,-0.12,-0.11,1346,volatile,0.0
27,0.0,1,-0.4,-0.36,656,volatile,0.0
28,0.0,1,-0.88,-0.64,530,volatile,0.0
29,0.0,1,-0.51,-0.03,644,volatile,0.0
30,0.0,1,-0.44,-0.76,587,volatile,0.0
31,0.0,1,-0.23,-0.92,729,volatile,0.0
32,0.0,1,-0.23,-0.14,791,volatile,0.0
33,0.0,1,-0.94,-0.77,616,volatile,0.0
34,0.0,0,-0.85,-0.2,540,volatile,0.0
35,0.0,1,-0.86,-0.63,796,volatile,0.0
36,0.0,0,-0.82,-0.56,588,volatile,0.0
37,1.0,0,-0.68,-0.63,536,volatile,0.0
38,1.0,0,-0.65,-0.8,514,volatile,0.0
39,1.0,0,-0.25,-0.1,641,volatile,0.0
40,1.0,0,-0.67,-0.8,533,volatile,0.0
41,1.0,0,-0.82,-0.57,700,volatile,0.0
42,1.0,0,-0.88,-0.47,584,volatile,0.0
43,1.0,1,-0.55,-0.99,610,volatile,0.0
44,1.0,1,-0.74,-0.67,560,volatile,0.0
45,0.0,0,-0.18,-0.27,1211,volatile,0.0
46,1.0,0,-0.15,-0.67,771,volatile,0.0
47,1.0,0,-0.91,-0.32,612,volatile,0.0
48,1.0,0,-0.66,-0.48,621,volatile,0.0
49,1.0,0,-0.67,-0.66,592,volatile,0.0
50,1.0,1,-0.11,-0.72,625,volatile,0.0
51,0.0,0,-0.36,-0.52,1229,volatile,0.0
52,1.0,0,-0.44,-0.76,875,volatile,0.0
53,1.0,0,-0.04,-0.37,729,volatile,0.0
54,1.0,0,-0.86,-0.09,560,volatile,0.0
55,1.0,0,-0.99,-0.86,943,volatile,0.0
56,1.0,0,-0.39,-0.9,871,volatile,0.0
57,1.0,1,-0.82,-0.85,666,volatile,0.0
58,0.0,0,-0.89,-0.99,691,volatile,0.0
59,1.0,1,-0.88,-0.02,609,volatile,0.0
60,1.0,0,-0.05,-0.33,1771,volatile,1.0
61,1.0,1,-0.35,-0.86,1161,volatile,1.0
62,0.0,1,-0.08,-0.13,870,volatile,1.0
63,1.0,1,-0.78,-0.68,596,volatile,1.0
64,0.0,1,-0.05,-0.15,658,volatile,1.0
65,0.0,1,-0.62,-0.42,708,volatile,1.0
66,0.0,0,-0.95,-0.51,719,volatile,1.0
67,0.0,0,-0.59,-0.95,809,volatile,1.0
68,1.0,0,-0.14,-0.98,723,volatile,1.0
69,0.0,1,-0.05,-0.84,1100,volatile,1.0
70,1.0,1,-0.38,-0.5,1523,volatile,1.0
71,0.0,1,-0.45,-0.59,633,volatile,1.0
72,0.0,1,-0.32,-0.72,1235,volatile,1.0
73,0.0,1,-0.02,-0.91,675,volatile,1.0
74,0.0,1,-0.72,-0.99,741,volatile,1.0
75,0.0,1,-0.61,-0.43,761,volatile,1.0
76,0.0,1,-0.24,-0.79,754,volatile,1.0
77,0.0,1,-0.48,-0.15,646,volatile,1.0
78,0.0,1,-0.5,-0.61,1737,volatile,1.0
79,0.0,1,-0.83,-0.34,649,volatile,1.0
80,0.0,0,-0.84,-0.92,1246,volatile,1.0
81,1.0,0,-0.71,-0.05,1371,volatile,1.0
82,1.0,0,-0.5,-0.72,869,volatile,1.0
83,1.0,1,-0.26,-0.29,1038,volatile,1.0
84,1.0,1,-0.37,-0.63,728,volatile,1.0
85,0.0,0,-0.47,-0.12,747,volatile,1.0
86,0.0,0,-0.36,-0.81,674,volatile,1.0
87,1.0,0,-0.87,-0.59,718,volatile,1.0
88,1.0,0,-0.26,-0.75,817,volatile,1.0
89,1.0,0,-0.17,-0.19,668,volatile,1.0
