,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1432,stable,0.0
1,0.0,1,-0.66,-0.12,670,stable,0.0
2,0.0,1,-0.98,-0.02,641,stable,0.0
3,0.0,0,-0.57,-0.95,971,stable,0.0
4,0.0,1,-0.28,-0.08,997,stable,0.0
5,0.0,1,-0.3,-0.33,882,stable,0.0
6,0.0,1,-0.27,-0.24,828,stable,0.0
7,0.0,0,-0.58,-0.43,639,stable,0.0
8,0.0,1,-0.72,-0.47,712,stable,0.0
9,0.0,0,-0.45,-0.44,730,stable,0.0
10,0.0,1,-0.69,-0.26,582,stable,0.0
11,0.0,1,-0.06,-0.41,398,stable,0.0
12,0.0,0,-0.88,-0.34,584,stable,0.0
13,0.0,0,-0.73,-0.2,483,stable,0.0
14,1.0,1,-0.6,-0.25,699,stable,0.0
15,0.0,0,-0.98,-0.06,772,stable,0.0
16,0.0,0,-0.48,-0.39,1000,stable,0.0
17,1.0,1,-0.35,-0.95,877,stable,0.0
18,1.0,1,-0.67,-0.85,1197,stable,0.0
19,0.0,1,-0.54,-0.22,782,stable,0.0
20,0.0,0,-0.23,-0.9,796,stable,0.0
21,0.0,1,-0.98,-0.41,1068,stable,0.0
22,1.0,1,-0.58,-0.8,1446,stable,0.0
23,1.0,0,-0.52,-0.85,1052,stable,0.0
24,0.0,0,-0.83,-0.15,951,stable,0.0
25,1.0,1,-0.18,-0.16,840,stable,0.0
26,1.0,1,-0.56,-0.7,1237,stable,0.0
27,1.0,1,-0.59,-0.95,1038,stable,0.0
28,0.0,1,-0.68,-0.18,1097,stable,0.0
29,0.0,1,-0.3,-0.16,960,stable,0.0
30,0.0,0,-0.86,-0.37,1175,stable,0.0
31,0.0,1,-0.47,-0.44,1038,stable,0.0
32,1.0,1,-0.03,-0.91,940,stable,0.0
33,0.0,0,-0.6,-0.1,1036,stable,0.0
34,1.0,1,-0.54,-0.84,953,stable,0.0
35,1.0,1,-0.34,-0.95,969,stable,0.0
36,0.0,0,-0.96,-0.28,1334,stable,0.0
37,1.0,1,-0.83,-0.94,2146,stable,0.0
38,1.0,1,-0.23,-0.86,1130,stable,0.0
