,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,2686,volatile,0.0
1,0.0,0,-0.76,-0.69,1118,volatile,0.0
2,1.0,0,-0.73,-0.52,1100,volatile,0.0
3,1.0,0,-0.41,-0.43,994,volatile,0.0
4,1.0,1,-0.25,-0.34,613,volatile,0.0
5,1.0,0,-0.34,-0.48,903,volatile,0.0
6,1.0,0,-0.3,-0.35,1059,volatile,0.0
7,1.0,0,-0.91,-0.42,1433,volatile,0.0
8,1.0,0,-0.7,-0.44,703,volatile,0.0
9,1.0,1,-0.64,-0.5,925,volatile,0.0
10,1.0,0,-0.28,-0.19,657,volatile,0.0
11,1.0,0,-0.02,-0.59,1240,volatile,0.0
12,1.0,0,-0.2,-0.09,1073,volatile,0.0
13,1.0,0,-0.32,-0.76,1146,volatile,0.0
14,1.0,0,-0.09,-0.98,691,volatile,0.0
15,1.0,1,-0.62,-0.56,882,volatile,0.0
16,1.0,0,-0.17,-0.16,947,volatile,0.0
17,1.0,0,-0.74,-0.07,580,volatile,0.0
18,1.0,0,-0.02,-0.41,595,volatile,0.0
19,1.0,0,-0.7,-0.57,908,volatile,0.0
20,1.0,1,-0.24,-0.28,1269,volatile,0.0
21,1.0,1,-0.59,-0.76,1073,volatile,0.0
22,1.0,0,-0.15,-0.19,657,volatile,0.0
23,1.0,1,-0.5,-0.68,3224,volatile,0.0
24,1.0,0,-0.43,-0.68,605,volatile,0.0
25,1.0,1,-0.14,-0.19,616,volatile,0.0
26,1.0,1,-0.12,-0.11,575,volatile,0.0
27,1.0,1,-0.4,-0.36,628,volatile,0.0
28,0.0,1,-0.88,-0.64,828,volatile,0.0
29,0.0,1,-0.51,-0.03,557,volatile,0.0
30,0.0,1,-0.44,-0.76,596,volatile,0.0
31,0.0,1,-0.23,-0.92,640,volatile,0.0
32,0.0,1,-0.23,-0.14,686,volatile,0.0
33,0.0,1,-0.94,-0.77,656,volatile,0.0
34,0.0,0,-0.85,-0.2,693,volatile,0.0
35,0.0,1,-0.86,-0.63,580,volatile,0.0
36,0.0,0,-0.82,-0.56,754,volatile,0.0
37,0.0,0,-0.68,-0.63,493,volatile,0.0
38,0.0,0,-0.65,-0.8,533,volatile,0.0
39,1.0,0,-0.25,-0.1,497,volatile,0.0
40,1.0,0,-0.67,-0.8,623,volatile,0.0
41,1.0,0,-0.82,-0.57,509,volatile,0.0
42,1.0,0,-0.88,-0.47,1745,volatile,0.0
43,1.0,1,-0.55,-0.99,1155,volatile,0.0
44,1.0,1,-0.74,-0.67,961,volatile,0.0
45,0.0,0,-0.18,-0.27,1811,volatile,0.0
46,0.0,0,-0.15,-0.67,904,volatile,0.0
47,1.0,0,-0.91,-0.32,541,volatile,0.0
48,1.0,0,-0.66,-0.48,1861,volatile,0.0
49,1.0,0,-0.67,-0.66,526,volatile,0.0
50,1.0,1,-0.11,-0.72,2949,volatile,0.0
51,1.0,0,-0.36,-0.52,849,volatile,0.0
52,1.0,0,-0.44,-0.76,1818,volatile,0.0
53,1.0,0,-0.04,-0.37,675,volatile,0.0
54,1.0,0,-0.86,-0.09,1225,volatile,0.0
55,1.0,0,-0.99,-0.86,912,volatile,0.0
56,1.0,0,-0.39,-0.9,686,volatile,0.0
57,1.0,1,-0.82,-0.85,1331,volatile,0.0
58,1.0,0,-0.89,-0.99,2301,volatile,0.0
59,1.0,1,-0.88,-0.02,608,volatile,0.0
60,1.0,0,-0.05,-0.33,1883,volatile,1.0
61,1.0,1,-0.35,-0.86,586,volatile,1.0
62,1.0,1,-0.08,-0.13,1097,volatile,1.0
63,0.0,1,-0.78,-0.68,645,volatile,1.0
64,0.0,1,-0.05,-0.15,713,volatile,1.0
65,0.0,1,-0.62,-0.42,564,volatile,1.0
66,0.0,0,-0.95,-0.51,537,volatile,1.0
67,1.0,0,-0.59,-0.95,1025,volatile,1.0
68,1.0,0,-0.14,-0.98,1684,volatile,1.0
69,0.0,1,-0.05,-0.84,1143,volatile,1.0
70,1.0,1,-0.38,-0.5,1711,volatile,1.0
71,0.0,1,-0.45,-0.59,723,volatile,1.0
72,0.0,1,-0.32,-0.72,2588,volatile,1.0
73,0.0,1,-0.02,-0.91,1169,volatile,1.0
74,1.0,1,-0.72,-0.99,1836,volatile,1.0
75,1.0,1,-0.61,-0.43,2395,volatile,1.0
76,0.0,1,-0.24,-0.79,1345,volatile,1.0
77,0.0,1,-0.48,-0.15,866,volatile,1.0
78,0.0,1,-0.5,-0.61,1757,volatile,1.0
79,0.0,1,-0.83,-0.34,1205,volatile,1.0
80,0.0,0,-0.84,-0.92,692,volatile,1.0
81,1.0,0,-0.71,-0.05,863,volatile,1.0
82,0.0,0,-0.5,-0.72,1498,volatile,1.0
83,1.0,1,-0.26,-0.29,1184,volatile,1.0
84,0.0,1,-0.37,-0.63,926,volatile,1.0
85,1.0,0,-0.47,-0.12,1616,volatile,1.0
86,0.0,0,-0.36,-0.81,1908,volatile,1.0
87,1.0,0,-0.87,-0.59,720,volatile,1.0
88,1.0,0,-0.26,-0.75,2299,volatile,1.0
89,0.0,0,-0.17,-0.19,5621,volatile,1.0
90,1.0,1,-0.44,-0.37,1538,stable,1.0
91,1.0,1,-0.66,-0.12,749,stable,1.0
92,0.0,1,-0.98,-0.02,550,stable,1.0
93,0.0,0,-0.57,-0.95,990,stable,1.0
94,0.0,1,-0.28,-0.08,727,stable,1.0
95,0.0,1,-0.3,-0.33,1654,stable,1.0
96,0.0,1,-0.27,-0.24,742,stable,1.0
97,0.0,0,-0.58,-0.43,522,stable,1.0
98,0.0,1,-0.72,-0.47,629,stable,1.0
99,0.0,0,-0.45,-0.44,1517,stable,1.0
100,0.0,1,-0.69,-0.26,910,stable,1.0
101,0.0,1,-0.06,-0.41,642,stable,1.0
102,1.0,0,-0.88,-0.34,1807,stable,1.0
103,1.0,0,-0.73,-0.2,1597,stable,1.0
104,1.0,1,-0.6,-0.25,816,stable,1.0
105,1.0,0,-0.98,-0.06,3208,stable,1.0
106,0.0,0,-0.48,-0.39,2564,stable,1.0
107,1.0,1,-0.35,-0.95,2690,stable,1.0
108,0.0,1,-0.67,-0.85,1291,stable,1.0
109,0.0,1,-0.54,-0.22,932,stable,1.0
110,0.0,0,-0.23,-0.9,1492,stable,1.0
111,0.0,1,-0.98,-0.41,890,stable,1.0
112,0.0,1,-0.58,-0.8,1010,stable,1.0
113,0.0,0,-0.52,-0.85,1901,stable,1.0
114,1.0,0,-0.83,-0.15,1390,stable,1.0
115,1.0,1,-0.18,-0.16,864,stable,1.0
116,0.0,1,-0.56,-0.7,1359,stable,1.0
117,0.0,1,-0.59,-0.95,1248,stable,1.0
118,1.0,1,-0.68,-0.18,2127,stable,1.0
119,0.0,1,-0.3,-0.16,655,stable,1.0
120,0.0,0,-0.86,-0.37,804,stable,2.0
121,0.0,1,-0.47,-0.44,628,stable,2.0
122,0.0,1,-0.03,-0.91,1512,stable,2.0
123,0.0,0,-0.6,-0.1,2153,stable,2.0
124,0.0,1,-0.54,-0.84,1378,stable,2.0
125,0.0,1,-0.34,-0.95,1208,stable,2.0
126,0.0,0,-0.96,-0.28,1144,stable,2.0
127,0.0,1,-0.83,-0.94,1094,stable,2.0
128,0.0,1,-0.23,-0.86,2330,stable,2.0
129,0.0,1,-0.99,-0.2,1044,stable,2.0
130,0.0,1,-0.29,-0.91,2989,stable,2.0
131,0.0,0,-0.88,-0.64,1235,stable,2.0
132,0.0,1,-0.84,-0.8,1170,stable,2.0
133,0.0,0,-0.61,-0.88,1614,stable,2.0
134,0.0,1,-0.23,-0.77,2403,stable,2.0
135,0.0,1,-0.87,-0.54,2925,stable,2.0
136,0.0,1,-0.25,-0.9,1185,stable,2.0
137,0.0,0,-0.71,-0.44,869,stable,2.0
138,0.0,1,-0.42,-0.52,590,stable,2.0
139,0.0,1,-0.39,-0.94,986,stable,2.0
140,0.0,1,-0.39,-0.24,731,stable,2.0
141,0.0,0,-0.2,-0.1,807,stable,2.0
142,0.0,0,-0.85,-0.43,1149,stable,2.0
143,0.0,0,-0.77,-0.02,1122,stable,2.0
144,0.0,1,-0.54,-0.87,1138,stable,2.0
145,0.0,1,-0.56,-0.57,621,stable,2.0
146,0.0,1,-0.5,-0.79,893,stable,2.0
147,0.0,1,-0.04,-0.88,988,stable,2.0
148,0.0,0,-0.4,-0.38,928,stable,2.0
149,0.0,1,-0.47,-0.86,726,stable,2.0
150,0.0,1,-0.15,-0.49,811,stable,2.0
151,0.0,1,-0.17,-0.39,835,stable,2.0
152,0.0,0,-0.76,-0.97,686,stable,2.0
153,0.0,1,-0.73,-0.14,476,stable,2.0
154,0.0,1,-0.67,-0.29,1080,stable,2.0
155,0.0,1,-0.48,-0.39,699,stable,2.0
156,0.0,1,-0.3,-0.87,1504,stable,2.0
157,0.0,0,-0.13,-0.37,1024,stable,2.0
158,0.0,1,-0.66,-0.59,748,stable,2.0
159,0.0,1,-0.2,-0.77,1250,stable,2.0
160,0.0,1,-0.39,-0.28,715,stable,2.0
161,0.0,1,-0.61,-0.55,691,stable,2.0
