,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1965,volatile,0.0
1,0.0,0,-0.76,-0.69,1486,volatile,0.0
2,0.0,0,-0.73,-0.52,1147,volatile,0.0
3,1.0,0,-0.41,-0.43,956,volatile,0.0
4,1.0,1,-0.25,-0.34,692,volatile,0.0
5,1.0,0,-0.34,-0.48,1015,volatile,0.0
6,0.0,0,-0.3,-0.35,804,volatile,0.0
7,1.0,0,-0.91,-0.42,954,volatile,0.0
8,1.0,0,-0.7,-0.44,587,volatile,0.0
9,1.0,1,-0.64,-0.5,1127,volatile,0.0
10,0.0,0,-0.28,-0.19,1230,volatile,0.0
11,1.0,0,-0.02,-0.59,782,volatile,0.0
12,1.0,0,-0.2,-0.09,842,volatile,0.0
13,0.0,0,-0.32,-0.76,900,volatile,0.0
14,1.0,0,-0.09,-0.98,778,volatile,0.0
15,1.0,1,-0.62,-0.56,916,volatile,0.0
16,0.0,0,-0.17,-0.16,819,volatile,0.0
17,1.0,0,-0.74,-0.07,1228,volatile,0.0
18,1.0,0,-0.02,-0.41,730,volatile,0.0
19,1.0,0,-0.7,-0.57,735,volatile,0.0
20,0.0,1,-0.24,-0.28,715,volatile,0.0
21,1.0,1,-0.59,-0.76,662,volatile,0.0
22,0.0,0,-0.15,-0.19,912,volatile,0.0
23,1.0,1,-0.5,-0.68,845,volatile,0.0
24,0.0,0,-0.43,-0.68,718,volatile,0.0
25,1.0,1,-0.14,-0.19,1402,volatile,0.0
26,0.0,1,-0.12,-0.11,1086,volatile,0.0
27,0.0,1,-0.4,-0.36,906,volatile,0.0
28,0.0,1,-0.88,-0.64,783,volatile,0.0
29,0.0,1,-0.51,-0.03,1876,volatile,0.0
30,1.0,1,-0.44,-0.76,1270,volatile,0.0
31,0.0,1,-0.23,-0.92,906,volatile,0.0
32,0.0,1,-0.23,-0.14,801,volatile,0.0
33,0.0,1,-0.94,-0.77,776,volatile,0.0
34,0.0,0,-0.85,-0.2,749,volatile,0.0
35,1.0,1,-0.86,-0.63,733,volatile,0.0
36,0.0,0,-0.82,-0.56,766,volatile,0.0
37,1.0,0,-0.68,-0.63,815,volatile,0.0
38,1.0,0,-0.65,-0.8,818,volatile,0.0
39,0.0,0,-0.25,-0.1,773,volatile,0.0
40,1.0,0,-0.67,-0.8,1002,volatile,0.0
41,1.0,0,-0.82,-0.57,620,volatile,0.0
42,1.0,0,-0.88,-0.47,1337,volatile,0.0
43,0.0,1,-0.55,-0.99,937,volatile,0.0
44,0.0,1,-0.74,-0.67,845,volatile,0.0
45,1.0,0,-0.18,-0.27,2191,volatile,0.0
46,1.0,0,-0.15,-0.67,888,volatile,0.0
47,1.0,0,-0.91,-0.32,965,volatile,0.0
48,0.0,0,-0.66,-0.48,738,volatile,0.0
49,1.0,0,-0.67,-0.66,1494,volatile,0.0
50,1.0,1,-0.11,-0.72,931,volatile,0.0
51,0.0,0,-0.36,-0.52,804,volatile,0.0
52,1.0,0,-0.44,-0.76,997,volatile,0.0
53,1.0,0,-0.04,-0.37,891,volatile,0.0
54,1.0,0,-0.86,-0.09,694,volatile,0.0
55,1.0,0,-0.99,-0.86,637,volatile,0.0
56,1.0,0,-0.39,-0.9,1103,volatile,0.0
57,0.0,1,-0.82,-0.85,1078,volatile,0.0
58,0.0,0,-0.89,-0.99,986,volatile,0.0
59,1.0,1,-0.88,-0.02,1031,volatile,0.0
60,0.0,0,-0.05,-0.33,664,volatile,1.0
61,1.0,1,-0.35,-0.86,660,volatile,1.0
62,1.0,1,-0.08,-0.13,914,volatile,1.0
63,0.0,1,-0.78,-0.68,946,volatile,1.0
64,1.0,1,-0.05,-0.15,1145,volatile,1.0
65,0.0,1,-0.62,-0.42,1440,volatile,1.0
66,0.0,0,-0.95,-0.51,761,volatile,1.0
67,0.0,0,-0.59,-0.95,1078,volatile,1.0
68,1.0,0,-0.14,-0.98,783,volatile,1.0
69,1.0,1,-0.05,-0.84,1144,volatile,1.0
70,1.0,1,-0.38,-0.5,929,volatile,1.0
71,0.0,1,-0.45,-0.59,819,volatile,1.0
72,0.0,1,-0.32,-0.72,1025,volatile,1.0
73,0.0,1,-0.02,-0.91,797,volatile,1.0
74,0.0,1,-0.72,-0.99,817,volatile,1.0
75,1.0,1,-0.61,-0.43,1013,volatile,1.0
76,0.0,1,-0.24,-0.79,882,volatile,1.0
77,0.0,1,-0.48,-0.15,805,volatile,1.0
78,0.0,1,-0.5,-0.61,846,volatile,1.0
79,0.0,1,-0.83,-0.34,1239,volatile,1.0
80,0.0,0,-0.84,-0.92,909,volatile,1.0
81,1.0,0,-0.71,-0.05,840,volatile,1.0
82,1.0,0,-0.5,-0.72,821,volatile,1.0
83,1.0,1,-0.26,-0.29,714,volatile,1.0
84,0.0,1,-0.37,-0.63,1056,volatile,1.0
85,0.0,0,-0.47,-0.12,868,volatile,1.0
86,0.0,0,-0.36,-0.81,880,volatile,1.0
87,1.0,0,-0.87,-0.59,644,volatile,1.0
88,1.0,0,-0.26,-0.75,1105,volatile,1.0
89,1.0,0,-0.17,-0.19,956,volatile,1.0
90,1.0,1,-0.44,-0.37,2712,stable,1.0
91,0.0,1,-0.66,-0.12,914,stable,1.0
92,0.0,1,-0.98,-0.02,919,stable,1.0
93,0.0,0,-0.57,-0.95,885,stable,1.0
94,1.0,1,-0.28,-0.08,1364,stable,1.0
95,0.0,1,-0.3,-0.33,1102,stable,1.0
96,0.0,1,-0.27,-0.24,853,stable,1.0
97,0.0,0,-0.58,-0.43,843,stable,1.0
98,1.0,1,-0.72,-0.47,640,stable,1.0
99,0.0,0,-0.45,-0.44,623,stable,1.0
100,1.0,1,-0.69,-0.26,904,stable,1.0
101,1.0,1,-0.06,-0.41,875,stable,1.0
102,1.0,0,-0.88,-0.34,2221,stable,1.0
103,0.0,0,-0.73,-0.2,754,stable,1.0
104,1.0,1,-0.6,-0.25,716,stable,1.0
105,1.0,0,-0.98,-0.06,1434,stable,1.0
106,0.0,0,-0.48,-0.39,740,stable,1.0
107,0.0,1,-0.35,-0.95,687,stable,1.0
108,1.0,1,-0.67,-0.85,718,stable,1.0
109,1.0,1,-0.54,-0.22,930,stable,1.0
110,0.0,0,-0.23,-0.9,771,stable,1.0
111,1.0,1,-0.98,-0.41,982,stable,1.0
112,0.0,1,-0.58,-0.8,907,stable,1.0
113,0.0,0,-0.52,-0.85,842,stable,1.0
114,1.0,0,-0.83,-0.15,888,stable,1.0
115,0.0,1,-0.18,-0.16,983,stable,1.0
116,0.0,1,-0.56,-0.7,762,stable,1.0
117,1.0,1,-0.59,-0.95,1004,stable,1.0
118,1.0,1,-0.68,-0.18,806,stable,1.0
119,0.0,1,-0.3,-0.16,840,stable,1.0
120,0.0,0,-0.86,-0.37,877,stable,2.0
121,1.0,1,-0.47,-0.44,731,stable,2.0
122,0.0,1,-0.03,-0.91,1102,stable,2.0
123,0.0,0,-0.6,-0.1,954,stable,2.0
124,1.0,1,-0.54,-0.84,891,stable,2.0
125,0.0,1,-0.34,-0.95,1011,stable,2.0
126,0.0,0,-0.96,-0.28,1363,stable,2.0
127,1.0,1,-0.83,-0.94,677,stable,2.0
128,0.0,1,-0.23,-0.86,1284,stable,2.0
129,0.0,1,-0.99,-0.2,990,stable,2.0
130,0.0,1,-0.29,-0.91,914,stable,2.0
131,0.0,0,-0.88,-0.64,717,stable,2.0
132,1.0,1,-0.84,-0.8,921,stable,2.0
133,0.0,0,-0.61,-0.88,963,stable,2.0
134,1.0,1,-0.23,-0.77,815,stable,2.0
135,1.0,1,-0.87,-0.54,2605,stable,2.0
136,0.0,1,-0.25,-0.9,804,stable,2.0
137,0.0,0,-0.71,-0.44,1106,stable,2.0
138,1.0,1,-0.42,-0.52,1194,stable,2.0
139,0.0,1,-0.39,-0.94,860,stable,2.0
140,1.0,1,-0.39,-0.24,843,stable,2.0
141,0.0,0,-0.2,-0.1,692,stable,2.0
142,1.0,0,-0.85,-0.43,929,stable,2.0
143,1.0,0,-0.77,-0.02,823,stable,2.0
144,0.0,1,-0.54,-0.87,763,stable,2.0
145,1.0,1,-0.56,-0.57,617,stable,2.0
146,0.0,1,-0.5,-0.79,917,stable,2.0
147,1.0,1,-0.04,-0.88,825,stable,2.0
148,0.0,0,-0.4,-0.38,1214,stable,2.0
149,1.0,1,-0.47,-0.86,864,stable,2.0
150,0.0,1,-0.15,-0.49,1124,stable,2.0
151,0.0,1,-0.17,-0.39,826,stable,2.0
152,1.0,0,-0.76,-0.97,788,stable,2.0
153,0.0,1,-0.73,-0.14,758,stable,2.0
154,0.0,1,-0.67,-0.29,829,stable,2.0
155,1.0,1,-0.48,-0.39,826,stable,2.0
156,0.0,1,-0.3,-0.87,777,stable,2.0
157,0.0,0,-0.13,-0.37,916,stable,2.0
158,1.0,1,-0.66,-0.59,865,stable,2.0
159,0.0,1,-0.2,-0.77,701,stable,2.0
160,0.0,1,-0.39,-0.28,806,stable,2.0
161,0.0,1,-0.61,-0.55,715,stable,2.0
162,1.0,1,-0.62,-0.02,825,stable,2.0
163,0.0,0,-0.5,-0.8,679,stable,2.0
164,1.0,0,-0.6,-0.07,1036,stable,2.0
165,1.0,0,-0.76,-0.52,670,stable,2.0
166,1.0,1,-0.49,-0.14,847,stable,2.0
167,0.0,1,-0.46,-0.36,735,stable,2.0
168,0.0,1,-0.84,-0.29,1052,stable,2.0
169,0.0,1,-0.44,-0.47,814,stable,2.0
170,1.0,1,-0.73,-0.44,960,stable,2.0
171,1.0,1,-0.3,-0.95,1119,stable,2.0
172,0.0,0,-0.8,-0.39,1118,stable,2.0
173,1.0,1,-0.67,-0.61,833,stable,2.0
174,1.0,1,-0.95,-0.61,735,stable,2.0
175,0.0,1,-0.65,-0.19,1022,stable,2.0
176,1.0,1,-0.72,-0.33,934,stable,2.0
177,0.0,0,-0.87,-0.17,1160,stable,2.0
178,1.0,1,-0.65,-0.53,765,stable,2.0
179,0.0,1,-0.38,-0.76,750,stable,2.0
