,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,2722,stable,0.0
1,0.0,1,-0.66,-0.12,530,stable,0.0
2,0.0,1,-0.98,-0.02,555,stable,0.0
3,0.0,0,-0.57,-0.95,1816,stable,0.0
4,0.0,1,-0.28,-0.08,1597,stable,0.0
5,0.0,1,-0.3,-0.33,1154,stable,0.0
6,0.0,1,-0.27,-0.24,1138,stable,0.0
7,0.0,0,-0.58,-0.43,1428,stable,0.0
8,1.0,1,-0.72,-0.47,1015,stable,0.0
9,1.0,0,-0.45,-0.44,695,stable,0.0
10,1.0,1,-0.69,-0.26,737,stable,0.0
11,1.0,1,-0.06,-0.41,750,stable,0.0
12,0.0,0,-0.88,-0.34,604,stable,0.0
13,1.0,0,-0.73,-0.2,778,stable,0.0
14,1.0,1,-0.6,-0.25,1536,stable,0.0
15,0.0,0,-0.98,-0.06,1144,stable,0.0
16,0.0,0,-0.48,-0.39,1404,stable,0.0
17,1.0,1,-0.35,-0.95,1346,stable,0.0
18,0.0,1,-0.67,-0.85,1641,stable,0.0
19,0.0,1,-0.54,-0.22,686,stable,0.0
20,0.0,0,-0.23,-0.9,594,stable,0.0
21,1.0,1,-0.98,-0.41,602,stable,0.0
22,0.0,1,-0.58,-0.8,1135,stable,0.0
23,0.0,0,-0.52,-0.85,966,stable,0.0
24,1.0,0,-0.83,-0.15,636,stable,0.0
25,0.0,1,-0.18,-0.16,1081,stable,0.0
26,0.0,1,-0.56,-0.7,720,stable,0.0
27,1.0,1,-0.59,-0.95,963,stable,0.0
28,0.0,1,-0.68,-0.18,524,stable,0.0
29,0.0,1,-0.3,-0.16,794,stable,0.0
30,0.0,0,-0.86,-0.37,702,stable,0.0
31,0.0,1,-0.47,-0.44,1712,stable,0.0
32,0.0,1,-0.03,-0.91,777,stable,0.0
33,0.0,0,-0.6,-0.1,568,stable,0.0
34,1.0,1,-0.54,-0.84,1581,stable,0.0
35,0.0,1,-0.34,-0.95,763,stable,0.0
36,0.0,0,-0.96,-0.28,1195,stable,0.0
37,0.0,1,-0.83,-0.94,2031,stable,0.0
38,0.0,1,-0.23,-0.86,712,stable,0.0
39,0.0,1,-0.99,-0.2,899,stable,0.0
40,0.0,1,-0.29,-0.91,1141,stable,0.0
41,0.0,0,-0.88,-0.64,985,stable,0.0
42,0.0,1,-0.84,-0.8,965,stable,0.0
43,1.0,0,-0.61,-0.88,2734,stable,0.0
44,1.0,1,-0.23,-0.77,777,stable,0.0
45,0.0,1,-0.87,-0.54,1808,stable,0.0
46,0.0,1,-0.25,-0.9,464,stable,0.0
47,0.0,0,-0.71,-0.44,1041,stable,0.0
48,0.0,1,-0.42,-0.52,563,stable,0.0
49,0.0,1,-0.39,-0.94,907,stable,0.0
50,0.0,1,-0.39,-0.24,1449,stable,0.0
51,1.0,0,-0.2,-0.1,660,stable,0.0
52,0.0,0,-0.85,-0.43,810,stable,0.0
53,0.0,0,-0.77,-0.02,1478,stable,0.0
54,0.0,1,-0.54,-0.87,790,stable,0.0
55,0.0,1,-0.56,-0.57,1215,stable,0.0
56,0.0,1,-0.5,-0.79,1001,stable,0.0
57,1.0,1,-0.04,-0.88,2513,stable,0.0
58,0.0,0,-0.4,-0.38,706,stable,0.0
59,0.0,1,-0.47,-0.86,1292,stable,0.0
60,0.0,1,-0.15,-0.49,491,stable,1.0
61,0.0,1,-0.17,-0.39,2679,stable,1.0
62,0.0,0,-0.76,-0.97,777,stable,1.0
63,0.0,1,-0.73,-0.14,767,stable,1.0
64,0.0,1,-0.67,-0.29,4449,stable,1.0
65,0.0,1,-0.48,-0.39,844,stable,1.0
66,0.0,1,-0.3,-0.87,866,stable,1.0
67,0.0,0,-0.13,-0.37,512,stable,1.0
68,0.0,1,-0.66,-0.59,1084,stable,1.0
69,0.0,1,-0.2,-0.77,1336,stable,1.0
70,1.0,1,-0.39,-0.28,742,stable,1.0
71,0.0,1,-0.61,-0.55,687,stable,1.0
72,0.0,1,-0.62,-0.02,473,stable,1.0
73,1.0,0,-0.5,-0.8,2600,stable,1.0
74,0.0,0,-0.6,-0.07,1033,stable,1.0
75,1.0,0,-0.76,-0.52,1665,stable,1.0
76,1.0,1,-0.49,-0.14,1772,stable,1.0
77,0.0,1,-0.46,-0.36,1131,stable,1.0
78,0.0,1,-0.84,-0.29,659,stable,1.0
79,0.0,1,-0.44,-0.47,730,stable,1.0
80,0.0,1,-0.73,-0.44,455,stable,1.0
81,0.0,1,-0.3,-0.95,553,stable,1.0
82,0.0,0,-0.8,-0.39,819,stable,1.0
83,0.0,1,-0.67,-0.61,878,stable,1.0
84,0.0,1,-0.95,-0.61,542,stable,1.0
85,0.0,1,-0.65,-0.19,646,stable,1.0
86,0.0,1,-0.72,-0.33,485,stable,1.0
87,0.0,0,-0.87,-0.17,1021,stable,1.0
88,0.0,1,-0.65,-0.53,761,stable,1.0
89,0.0,1,-0.38,-0.76,1375,stable,1.0
90,1.0,1,-0.41,-0.2,6214,volatile,1.0
91,0.0,0,-0.76,-0.69,880,volatile,1.0
92,1.0,0,-0.73,-0.52,472,volatile,1.0
93,0.0,0,-0.41,-0.43,1376,volatile,1.0
94,0.0,1,-0.25,-0.34,543,volatile,1.0
95,0.0,0,-0.34,-0.48,621,volatile,1.0
96,0.0,0,-0.3,-0.35,1096,volatile,1.0
97,1.0,0,-0.91,-0.42,683,volatile,1.0
98,1.0,0,-0.7,-0.44,712,volatile,1.0
99,0.0,1,-0.64,-0.5,1000,volatile,1.0
100,0.0,0,-0.28,-0.19,581,volatile,1.0
101,0.0,0,-0.02,-0.59,633,volatile,1.0
102,0.0,0,-0.2,-0.09,1958,volatile,1.0
103,0.0,0,-0.32,-0.76,766,volatile,1.0
104,1.0,0,-0.09,-0.98,585,volatile,1.0
105,1.0,1,-0.62,-0.56,769,volatile,1.0
106,1.0,0,-0.17,-0.16,1006,volatile,1.0
107,,0,-0.74,-0.07,6251,volatile,1.0
108,0.0,0,-0.02,-0.41,745,volatile,1.0
109,0.0,0,-0.7,-0.57,1903,volatile,1.0
110,0.0,1,-0.24,-0.28,871,volatile,1.0
111,0.0,1,-0.59,-0.76,491,volatile,1.0
112,0.0,0,-0.15,-0.19,831,volatile,1.0
113,0.0,1,-0.5,-0.68,737,volatile,1.0
114,0.0,0,-0.43,-0.68,666,volatile,1.0
115,0.0,1,-0.14,-0.19,1148,volatile,1.0
116,0.0,1,-0.12,-0.11,611,volatile,1.0
117,0.0,1,-0.4,-0.36,967,volatile,1.0
118,0.0,1,-0.88,-0.64,1070,volatile,1.0
119,0.0,1,-0.51,-0.03,1358,volatile,1.0
120,0.0,1,-0.44,-0.76,631,volatile,2.0
121,0.0,1,-0.23,-0.92,1010,volatile,2.0
122,0.0,1,-0.23,-0.14,798,volatile,2.0
123,0.0,1,-0.94,-0.77,1032,volatile,2.0
124,0.0,0,-0.85,-0.2,470,volatile,2.0
125,0.0,1,-0.86,-0.63,600,volatile,2.0
126,0.0,0,-0.82,-0.56,698,volatile,2.0
127,0.0,0,-0.68,-0.63,613,volatile,2.0
128,1.0,0,-0.65,-0.8,814,volatile,2.0
129,1.0,0,-0.25,-0.1,406,volatile,2.0
130,1.0,0,-0.67,-0.8,448,volatile,2.0
131,0.0,0,-0.82,-0.57,2205,volatile,2.0
132,1.0,0,-0.88,-0.47,697,volatile,2.0
133,1.0,1,-0.55,-0.99,492,volatile,2.0
134,0.0,1,-0.74,-0.67,1353,volatile,2.0
135,1.0,0,-0.18,-0.27,2603,volatile,2.0
136,1.0,0,-0.15,-0.67,708,volatile,2.0
137,1.0,0,-0.91,-0.32,749,volatile,2.0
138,1.0,0,-0.66,-0.48,514,volatile,2.0
139,1.0,0,-0.67,-0.66,485,volatile,2.0
140,1.0,1,-0.11,-0.72,545,volatile,2.0
141,1.0,0,-0.36,-0.52,511,volatile,2.0
142,1.0,0,-0.44,-0.76,563,volatile,2.0
143,0.0,0,-0.04,-0.37,1088,volatile,2.0
144,0.0,0,-0.86,-0.09,315,volatile,2.0
