,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,-0.1,-0.23,1477,volatile,0.0
1,0.0,0,-0.97,-0.45,1099,volatile,0.0
2,1.0,0,-0.62,-0.54,1373,volatile,0.0
3,1.0,1,-0.16,-0.99,891,volatile,0.0
4,1.0,0,-0.4,-0.72,1214,volatile,0.0
5,1.0,0,-0.88,-0.98,938,volatile,0.0
6,0.0,0,-0.54,-0.06,1640,volatile,0.0
7,1.0,0,-0.55,-0.64,2573,volatile,0.0
8,1.0,0,-0.45,-0.96,1538,volatile,0.0
9,1.0,0,-0.19,-0.28,1306,volatile,0.0
10,1.0,0,-0.26,-0.95,1118,volatile,0.0
11,1.0,0,-0.29,-0.9,894,volatile,0.0
12,1.0,0,-0.53,-0.2,3593,volatile,0.0
13,1.0,0,-0.56,-0.74,2053,volatile,0.0
14,1.0,0,-0.42,-0.18,2695,volatile,0.0
15,1.0,0,-0.91,-0.11,1362,volatile,0.0
16,1.0,1,-0.31,-0.32,1550,volatile,0.0
17,1.0,1,-0.81,-0.67,2124,volatile,0.0
18,0.0,1,-0.36,-0.32,1584,volatile,0.0
19,0.0,0,-0.81,-0.72,1565,volatile,0.0
20,1.0,1,-0.54,-0.95,994,volatile,0.0
21,0.0,1,-0.59,-0.4,1364,volatile,0.0
22,0.0,1,-0.24,-0.29,1017,volatile,0.0
23,0.0,1,-0.51,-0.6,1353,volatile,0.0
24,0.0,1,-0.65,-0.83,3197,volatile,0.0
25,0.0,0,-0.98,-0.78,1431,volatile,0.0
26,0.0,1,-0.51,-0.56,1605,volatile,0.0
27,0.0,1,-0.2,-0.05,1242,volatile,0.0
28,0.0,1,-0.02,-0.67,1327,volatile,0.0
29,0.0,1,-0.84,-0.85,1752,volatile,0.0
30,0.0,0,-0.49,-0.07,1320,volatile,0.0
31,0.0,1,-0.47,-0.37,1173,volatile,0.0
32,0.0,1,-0.91,-0.27,915,volatile,0.0
33,0.0,1,-0.42,-0.44,881,volatile,0.0
34,0.0,0,-0.55,-0.31,1284,volatile,0.0
35,0.0,1,-0.7,-0.97,1451,volatile,0.0
36,0.0,0,-0.79,-0.89,1502,volatile,0.0
37,0.0,0,-0.86,-0.83,1228,volatile,0.0
38,1.0,0,-0.62,-0.4,877,volatile,0.0
39,1.0,0,-0.23,-0.36,1441,volatile,0.0
40,1.0,0,-0.61,-0.65,1534,volatile,0.0
41,1.0,0,-0.67,-0.74,1420,volatile,0.0
42,1.0,0,-0.41,-0.73,1802,volatile,0.0
43,1.0,1,-0.54,-0.96,1312,volatile,0.0
44,0.0,0,-0.66,-0.43,2975,volatile,0.0
45,1.0,0,-0.79,-0.72,803,volatile,0.0
46,1.0,1,-0.13,-0.71,1051,volatile,0.0
47,1.0,0,-0.53,-0.78,1484,volatile,0.0
48,0.0,0,-0.9,-0.57,2255,volatile,0.0
49,1.0,1,-0.12,-0.03,1096,volatile,0.0
50,0.0,0,-0.64,-0.02,2938,volatile,0.0
51,1.0,0,-0.09,-0.99,1969,volatile,0.0
52,0.0,0,-0.42,-0.21,1537,volatile,0.0
53,1.0,0,-0.72,-0.83,1403,volatile,0.0
54,1.0,1,-0.65,-0.36,1165,volatile,0.0
55,1.0,1,-0.3,-0.4,1108,volatile,0.0
56,0.0,0,-0.26,-0.29,1634,volatile,0.0
57,1.0,0,-0.11,-0.37,1305,volatile,0.0
58,1.0,0,-0.14,-0.12,1010,volatile,0.0
59,1.0,1,-0.9,-0.78,1637,volatile,0.0
60,1.0,1,-0.53,-0.46,2461,volatile,1.0
61,0.0,1,-0.42,-0.3,1581,volatile,1.0
62,0.0,1,-0.65,-0.36,1439,volatile,1.0
63,1.0,1,-0.49,-0.49,2082,volatile,1.0
64,0.0,1,-0.1,-0.44,1834,volatile,1.0
65,0.0,1,-0.64,-0.7,1664,volatile,1.0
66,0.0,1,-0.95,-0.68,1822,volatile,1.0
67,0.0,1,-0.48,-0.02,1960,volatile,1.0
68,0.0,1,-0.61,-0.09,1466,volatile,1.0
69,0.0,1,-0.6,-0.47,1473,volatile,1.0
70,0.0,1,-0.23,-0.78,1492,volatile,1.0
71,0.0,0,-0.67,-0.82,1362,volatile,1.0
72,0.0,1,-0.16,-0.64,2077,volatile,1.0
73,0.0,0,-0.78,-0.37,1339,volatile,1.0
74,0.0,1,-0.22,-0.89,1713,volatile,1.0
75,0.0,1,-0.18,-0.26,1918,volatile,1.0
76,0.0,1,-0.73,-0.08,1611,volatile,1.0
77,0.0,0,-0.51,-0.23,1455,volatile,1.0
78,0.0,1,-0.09,-0.14,2223,volatile,1.0
79,0.0,0,-0.66,-0.73,1698,volatile,1.0
80,1.0,0,-0.17,-0.17,1622,volatile,1.0
81,1.0,0,-0.63,-0.9,2150,volatile,1.0
82,1.0,0,-0.66,-0.77,2366,volatile,1.0
83,1.0,1,-0.27,-0.35,1829,volatile,1.0
84,0.0,0,-0.15,-0.04,742,volatile,1.0
85,1.0,0,-0.9,-0.96,1625,volatile,1.0
86,1.0,0,-0.11,-0.18,1585,volatile,1.0
87,1.0,0,-0.2,-0.53,1507,volatile,1.0
88,1.0,0,-0.37,-0.85,1016,volatile,1.0
89,0.0,1,-0.46,-0.38,1395,volatile,1.0
90,0.0,1,-0.24,-0.18,1198,stable,1.0
91,0.0,1,-0.78,-0.82,1853,stable,1.0
92,0.0,1,-0.54,-0.59,1212,stable,1.0
93,0.0,1,-0.33,-0.36,1240,stable,1.0
94,0.0,1,-0.56,-0.49,1251,stable,1.0
95,0.0,1,-0.83,-0.26,1635,stable,1.0
96,0.0,1,-0.81,-0.38,1633,stable,1.0
97,0.0,1,-0.23,-0.12,1400,stable,1.0
98,0.0,1,-0.07,-0.87,1061,stable,1.0
99,0.0,1,-0.5,-0.43,1534,stable,1.0
100,0.0,1,-0.47,-0.5,762,stable,1.0
101,0.0,0,-0.35,-0.41,961,stable,1.0
102,0.0,1,-0.87,-0.09,1457,stable,1.0
103,0.0,1,-0.58,-0.2,1723,stable,1.0
104,0.0,1,-0.31,-0.88,1418,stable,1.0
105,0.0,1,-0.44,-0.56,2287,stable,1.0
106,0.0,1,-0.85,-0.31,862,stable,1.0
107,0.0,1,-0.31,-0.9,1283,stable,1.0
108,0.0,1,-0.76,-0.8,991,stable,1.0
109,0.0,1,-0.04,-0.78,910,stable,1.0
110,0.0,1,-0.28,-0.6,760,stable,1.0
111,0.0,0,-0.99,-0.56,926,stable,1.0
112,0.0,1,-0.45,-0.31,1102,stable,1.0
113,0.0,1,-0.16,-0.55,2480,stable,1.0
114,0.0,0,-0.89,-0.12,963,stable,1.0
115,0.0,1,-0.86,-0.49,1086,stable,1.0
116,0.0,1,-0.62,-0.69,1071,stable,1.0
117,0.0,0,-0.26,-0.49,1477,stable,1.0
118,0.0,1,-0.76,-0.75,1644,stable,1.0
119,0.0,1,-0.9,-0.22,954,stable,1.0
120,0.0,1,-0.76,-0.26,995,stable,2.0
121,0.0,1,-0.68,-0.11,1243,stable,2.0
122,0.0,0,-0.82,-0.71,1083,stable,2.0
123,0.0,1,-0.95,-0.86,751,stable,2.0
124,0.0,1,-0.88,-0.79,1465,stable,2.0
125,0.0,1,-0.4,-0.75,1001,stable,2.0
126,0.0,1,-0.94,-0.11,935,stable,2.0
127,0.0,0,-0.44,-0.53,1272,stable,2.0
128,1.0,1,-0.47,-0.85,1445,stable,2.0
129,0.0,0,-0.32,-0.85,1522,stable,2.0
130,0.0,1,-0.68,-0.38,1388,stable,2.0
131,0.0,1,-0.93,-0.28,1453,stable,2.0
132,0.0,1,-0.95,-0.13,708,stable,2.0
133,0.0,1,-0.6,-0.69,1667,stable,2.0
134,0.0,0,-0.95,-0.56,2598,stable,2.0
135,0.0,1,-0.41,-0.02,943,stable,2.0
136,1.0,1,-0.05,-0.42,1160,stable,2.0
137,0.0,0,-0.3,-0.44,1794,stable,2.0
138,1.0,1,-0.54,-0.79,1278,stable,2.0
139,0.0,1,-0.87,-0.83,795,stable,2.0
140,0.0,1,-0.44,-0.59,891,stable,2.0
141,0.0,0,-0.1,-0.15,1681,stable,2.0
142,1.0,1,-0.15,-0.6,1786,stable,2.0
143,0.0,0,-0.25,-0.93,1563,stable,2.0
144,1.0,1,-0.23,-0.43,1003,stable,2.0
145,0.0,1,-0.87,-0.22,1003,stable,2.0
146,0.0,0,-0.77,-0.27,1063,stable,2.0
147,1.0,1,-0.35,-0.99,1318,stable,2.0
148,0.0,0,-0.39,-0.49,1511,stable,2.0
149,1.0,1,-0.6,-0.83,843,stable,2.0
150,1.0,0,-0.54,-0.61,1064,stable,2.0
151,0.0,1,-0.34,-0.82,996,stable,2.0
152,0.0,1,-0.86,-0.96,1600,stable,2.0
153,0.0,1,-0.27,-0.65,2158,stable,2.0
154,0.0,0,-0.93,-0.63,1517,stable,2.0
155,0.0,1,-0.4,-0.65,1114,stable,2.0
156,0.0,1,-0.69,-0.07,1838,stable,2.0
157,0.0,0,-0.28,-0.94,1805,stable,2.0
158,1.0,1,-0.04,-0.9,915,stable,2.0
159,0.0,1,-0.94,-0.7,1168,stable,2.0
160,0.0,1,-0.54,-0.32,1792,stable,2.0
161,0.0,1,-0.67,-0.35,884,stable,2.0
162,0.0,1,-0.61,-0.09,940,stable,2.0
163,0.0,1,-0.75,-0.52,1115,stable,2.0
164,0.0,0,-0.98,-0.61,1179,stable,2.0
165,1.0,1,-0.73,-0.73,791,stable,2.0
166,0.0,1,-0.86,-0.01,1469,stable,2.0
167,0.0,0,-0.99,-0.18,835,stable,2.0
168,0.0,1,-0.76,-0.47,1041,stable,2.0
169,0.0,1,-0.15,-0.37,1240,stable,2.0
170,0.0,1,-0.33,-0.95,1300,stable,2.0
171,1.0,0,-0.04,-0.93,1467,stable,2.0
172,1.0,0,-0.7,-0.96,2263,stable,2.0
173,0.0,0,-0.96,-0.21,1263,stable,2.0
174,0.0,0,-0.73,-0.17,1497,stable,2.0
175,1.0,1,-0.74,-0.58,754,stable,2.0
176,1.0,1,-0.18,-0.6,1129,stable,2.0
177,1.0,1,-0.36,-0.7,913,stable,2.0
178,0.0,1,-0.58,-0.31,1241,stable,2.0
179,,0,-0.97,-0.45,1099,stable,2.0
