,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,706,stable,0.0
1,1.0,1,-0.66,-0.12,1154,stable,0.0
2,1.0,1,-0.98,-0.02,312,stable,0.0
3,0.0,0,-0.57,-0.95,1145,stable,0.0
4,0.0,1,-0.28,-0.08,984,stable,0.0
5,1.0,1,-0.3,-0.33,433,stable,0.0
6,1.0,1,-0.27,-0.24,2028,stable,0.0
7,1.0,0,-0.58,-0.43,417,stable,0.0
8,0.0,1,-0.72,-0.47,1088,stable,0.0
9,1.0,0,-0.45,-0.44,852,stable,0.0
10,1.0,1,-0.69,-0.26,430,stable,0.0
11,0.0,1,-0.06,-0.41,297,stable,0.0
12,1.0,0,-0.88,-0.34,397,stable,0.0
13,1.0,0,-0.73,-0.2,279,stable,0.0
14,0.0,1,-0.6,-0.25,259,stable,0.0
15,1.0,0,-0.98,-0.06,387,stable,0.0
16,1.0,0,-0.48,-0.39,313,stable,0.0
17,1.0,1,-0.35,-0.95,673,stable,0.0
18,0.0,1,-0.67,-0.85,747,stable,0.0
19,1.0,1,-0.54,-0.22,841,stable,0.0
20,1.0,0,-0.23,-0.9,1249,stable,0.0
21,0.0,1,-0.98,-0.41,439,stable,0.0
22,0.0,1,-0.58,-0.8,683,stable,0.0
23,0.0,0,-0.52,-0.85,360,stable,0.0
24,1.0,0,-0.83,-0.15,872,stable,0.0
25,0.0,1,-0.18,-0.16,965,stable,0.0
26,1.0,1,-0.56,-0.7,280,stable,0.0
27,1.0,1,-0.59,-0.95,1574,stable,0.0
28,0.0,1,-0.68,-0.18,525,stable,0.0
29,1.0,1,-0.3,-0.16,371,stable,0.0
30,1.0,0,-0.86,-0.37,946,stable,0.0
31,1.0,1,-0.47,-0.44,1062,stable,0.0
32,0.0,1,-0.03,-0.91,1463,stable,0.0
33,0.0,0,-0.6,-0.1,271,stable,0.0
34,0.0,1,-0.54,-0.84,282,stable,0.0
35,0.0,1,-0.34,-0.95,406,stable,0.0
36,0.0,0,-0.96,-0.28,418,stable,0.0
37,0.0,1,-0.83,-0.94,847,stable,0.0
38,1.0,1,-0.23,-0.86,1515,stable,0.0
39,0.0,1,-0.99,-0.2,415,stable,0.0
40,1.0,1,-0.29,-0.91,323,stable,0.0
41,1.0,0,-0.88,-0.64,253,stable,0.0
42,1.0,1,-0.84,-0.8,470,stable,0.0
43,0.0,0,-0.61,-0.88,331,stable,0.0
44,1.0,1,-0.23,-0.77,360,stable,0.0
45,0.0,1,-0.87,-0.54,516,stable,0.0
46,0.0,1,-0.25,-0.9,279,stable,0.0
47,1.0,0,-0.71,-0.44,401,stable,0.0
48,1.0,1,-0.42,-0.52,471,stable,0.0
49,1.0,1,-0.39,-0.94,620,stable,0.0
50,0.0,1,-0.39,-0.24,260,stable,0.0
51,1.0,0,-0.2,-0.1,483,stable,0.0
52,1.0,0,-0.85,-0.43,285,stable,0.0
53,0.0,0,-0.77,-0.02,323,stable,0.0
54,1.0,1,-0.54,-0.87,263,stable,0.0
55,1.0,1,-0.56,-0.57,749,stable,0.0
56,1.0,1,-0.5,-0.79,593,stable,0.0
57,1.0,1,-0.04,-0.88,407,stable,0.0
58,0.0,0,-0.4,-0.38,861,stable,0.0
59,0.0,1,-0.47,-0.86,774,stable,0.0
60,0.0,1,-0.15,-0.49,307,stable,1.0
61,1.0,1,-0.17,-0.39,1872,stable,1.0
62,1.0,0,-0.76,-0.97,489,stable,1.0
63,1.0,1,-0.73,-0.14,460,stable,1.0
64,1.0,1,-0.67,-0.29,325,stable,1.0
65,1.0,1,-0.48,-0.39,545,stable,1.0
66,0.0,1,-0.3,-0.87,409,stable,1.0
67,1.0,0,-0.13,-0.37,358,stable,1.0
68,0.0,1,-0.66,-0.59,279,stable,1.0
69,0.0,1,-0.2,-0.77,1585,stable,1.0
70,0.0,1,-0.39,-0.28,1595,stable,1.0
71,1.0,1,-0.61,-0.55,256,stable,1.0
72,0.0,1,-0.62,-0.02,1505,stable,1.0
73,0.0,0,-0.5,-0.8,1973,stable,1.0
74,1.0,0,-0.6,-0.07,498,stable,1.0
75,1.0,0,-0.76,-0.52,770,stable,1.0
76,0.0,1,-0.49,-0.14,769,stable,1.0
77,0.0,1,-0.46,-0.36,497,stable,1.0
78,0.0,1,-0.84,-0.29,416,stable,1.0
79,1.0,1,-0.44,-0.47,3266,stable,1.0
80,1.0,1,-0.73,-0.44,253,stable,1.0
81,1.0,1,-0.3,-0.95,321,stable,1.0
82,1.0,0,-0.8,-0.39,501,stable,1.0
83,1.0,1,-0.67,-0.61,631,stable,1.0
84,1.0,1,-0.95,-0.61,612,stable,1.0
85,1.0,1,-0.65,-0.19,341,stable,1.0
86,0.0,1,-0.72,-0.33,398,stable,1.0
87,1.0,0,-0.87,-0.17,665,stable,1.0
88,0.0,1,-0.65,-0.53,369,stable,1.0
89,0.0,1,-0.38,-0.76,705,stable,1.0
90,1.0,1,-0.41,-0.2,492,volatile,1.0
91,0.0,0,-0.76,-0.69,485,volatile,1.0
92,0.0,0,-0.73,-0.52,536,volatile,1.0
93,0.0,0,-0.41,-0.43,376,volatile,1.0
94,0.0,1,-0.25,-0.34,283,volatile,1.0
95,0.0,0,-0.34,-0.48,878,volatile,1.0
96,1.0,0,-0.3,-0.35,509,volatile,1.0
97,0.0,0,-0.91,-0.42,393,volatile,1.0
98,1.0,0,-0.7,-0.44,1319,volatile,1.0
99,1.0,1,-0.64,-0.5,521,volatile,1.0
