,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,929,stable,0.0
1,1.0,1,-0.66,-0.12,790,stable,0.0
2,1.0,1,-0.98,-0.02,741,stable,0.0
3,0.0,0,-0.57,-0.95,742,stable,0.0
4,0.0,1,-0.28,-0.08,781,stable,0.0
5,1.0,1,-0.3,-0.33,901,stable,0.0
6,0.0,1,-0.27,-0.24,919,stable,0.0
7,0.0,0,-0.58,-0.43,818,stable,0.0
8,1.0,1,-0.72,-0.47,705,stable,0.0
9,0.0,0,-0.45,-0.44,872,stable,0.0
10,1.0,1,-0.69,-0.26,584,stable,0.0
11,1.0,1,-0.06,-0.41,666,stable,0.0
12,0.0,0,-0.88,-0.34,626,stable,0.0
13,1.0,0,-0.73,-0.2,482,stable,0.0
14,0.0,1,-0.6,-0.25,1052,stable,0.0
15,0.0,0,-0.98,-0.06,590,stable,0.0
16,1.0,0,-0.48,-0.39,556,stable,0.0
17,1.0,1,-0.35,-0.95,393,stable,0.0
18,1.0,1,-0.67,-0.85,487,stable,0.0
19,0.0,1,-0.54,-0.22,357,stable,0.0
20,1.0,0,-0.23,-0.9,381,stable,0.0
21,0.0,1,-0.98,-0.41,633,stable,0.0
22,0.0,1,-0.58,-0.8,381,stable,0.0
23,0.0,0,-0.52,-0.85,378,stable,0.0
24,0.0,0,-0.83,-0.15,400,stable,0.0
25,0.0,1,-0.18,-0.16,440,stable,0.0
26,1.0,1,-0.56,-0.7,364,stable,0.0
27,0.0,1,-0.59,-0.95,438,stable,0.0
28,0.0,1,-0.68,-0.18,394,stable,0.0
29,1.0,1,-0.3,-0.16,590,stable,0.0
30,0.0,0,-0.86,-0.37,522,stable,0.0
31,1.0,1,-0.47,-0.44,438,stable,0.0
32,0.0,1,-0.03,-0.91,552,stable,0.0
33,1.0,0,-0.6,-0.1,406,stable,0.0
34,0.0,1,-0.54,-0.84,251,stable,0.0
35,1.0,1,-0.34,-0.95,493,stable,0.0
36,0.0,0,-0.96,-0.28,355,stable,0.0
37,0.0,1,-0.83,-0.94,452,stable,0.0
38,0.0,1,-0.23,-0.86,414,stable,0.0
39,1.0,1,-0.99,-0.2,404,stable,0.0
40,0.0,1,-0.29,-0.91,385,stable,0.0
41,1.0,0,-0.88,-0.64,377,stable,0.0
42,1.0,1,-0.84,-0.8,473,stable,0.0
43,1.0,0,-0.61,-0.88,421,stable,0.0
44,0.0,1,-0.23,-0.77,394,stable,0.0
45,1.0,1,-0.87,-0.54,1011,stable,0.0
46,1.0,1,-0.25,-0.9,329,stable,0.0
47,0.0,0,-0.71,-0.44,510,stable,0.0
48,0.0,1,-0.42,-0.52,432,stable,0.0
49,1.0,1,-0.39,-0.94,427,stable,0.0
50,0.0,1,-0.39,-0.24,646,stable,0.0
51,0.0,0,-0.2,-0.1,913,stable,0.0
52,0.0,0,-0.85,-0.43,395,stable,0.0
53,0.0,0,-0.77,-0.02,423,stable,0.0
54,0.0,1,-0.54,-0.87,424,stable,0.0
55,1.0,1,-0.56,-0.57,1850,stable,0.0
56,0.0,1,-0.5,-0.79,1317,stable,0.0
57,1.0,1,-0.04,-0.88,1284,stable,0.0
58,,0,-0.4,-0.38,6254,stable,0.0
59,,1,-0.47,-0.86,6253,stable,0.0
60,,1,-0.15,-0.49,6250,stable,1.0
61,,1,-0.17,-0.39,6254,stable,1.0
62,1.0,0,-0.76,-0.97,1625,stable,1.0
63,0.0,1,-0.73,-0.14,393,stable,1.0
64,1.0,1,-0.67,-0.29,1519,stable,1.0
65,0.0,1,-0.48,-0.39,764,stable,1.0
66,1.0,1,-0.3,-0.87,440,stable,1.0
67,0.0,0,-0.13,-0.37,371,stable,1.0
68,1.0,1,-0.66,-0.59,372,stable,1.0
69,0.0,1,-0.2,-0.77,378,stable,1.0
70,1.0,1,-0.39,-0.28,348,stable,1.0
71,1.0,1,-0.61,-0.55,384,stable,1.0
72,1.0,1,-0.62,-0.02,429,stable,1.0
