,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1621,volatile,0.0
1,0.0,0,-0.76,-0.69,1046,volatile,0.0
2,0.0,0,-0.73,-0.52,1465,volatile,0.0
3,1.0,0,-0.41,-0.43,1143,volatile,0.0
4,1.0,1,-0.25,-0.34,1011,volatile,0.0
5,1.0,0,-0.34,-0.48,1048,volatile,0.0
6,1.0,0,-0.3,-0.35,996,volatile,0.0
7,1.0,0,-0.91,-0.42,1452,volatile,0.0
8,1.0,0,-0.7,-0.44,741,volatile,0.0
9,1.0,1,-0.64,-0.5,677,volatile,0.0
10,1.0,0,-0.28,-0.19,805,volatile,0.0
11,1.0,0,-0.02,-0.59,1113,volatile,0.0
12,1.0,0,-0.2,-0.09,721,volatile,0.0
13,1.0,0,-0.32,-0.76,666,volatile,0.0
14,1.0,0,-0.09,-0.98,1163,volatile,0.0
15,1.0,1,-0.62,-0.56,915,volatile,0.0
16,1.0,0,-0.17,-0.16,732,volatile,0.0
17,1.0,0,-0.74,-0.07,866,volatile,0.0
18,1.0,0,-0.02,-0.41,821,volatile,0.0
19,1.0,0,-0.7,-0.57,795,volatile,0.0
20,1.0,1,-0.24,-0.28,844,volatile,0.0
21,1.0,1,-0.59,-0.76,766,volatile,0.0
22,1.0,0,-0.15,-0.19,912,volatile,0.0
23,1.0,1,-0.5,-0.68,653,volatile,0.0
24,1.0,0,-0.43,-0.68,599,volatile,0.0
25,1.0,1,-0.14,-0.19,674,volatile,0.0
26,1.0,1,-0.12,-0.11,660,volatile,0.0
27,1.0,1,-0.4,-0.36,670,volatile,0.0
28,1.0,1,-0.88,-0.64,730,volatile,0.0
29,1.0,1,-0.51,-0.03,643,volatile,0.0
30,1.0,1,-0.44,-0.76,779,volatile,0.0
31,0.0,1,-0.23,-0.92,1472,volatile,0.0
32,0.0,1,-0.23,-0.14,644,volatile,0.0
33,0.0,1,-0.94,-0.77,644,volatile,0.0
34,0.0,0,-0.85,-0.2,714,volatile,0.0
35,0.0,1,-0.86,-0.63,704,volatile,0.0
36,0.0,0,-0.82,-0.56,968,volatile,0.0
37,0.0,0,-0.68,-0.63,1132,volatile,0.0
38,0.0,0,-0.65,-0.8,1153,volatile,0.0
39,0.0,0,-0.25,-0.1,1132,volatile,0.0
40,0.0,0,-0.67,-0.8,700,volatile,0.0
41,1.0,0,-0.82,-0.57,906,volatile,0.0
42,0.0,0,-0.88,-0.47,1516,volatile,0.0
43,0.0,1,-0.55,-0.99,997,volatile,0.0
44,0.0,1,-0.74,-0.67,711,volatile,0.0
45,1.0,0,-0.18,-0.27,1514,volatile,0.0
46,1.0,0,-0.15,-0.67,1106,volatile,0.0
47,0.0,0,-0.91,-0.32,1854,volatile,0.0
48,1.0,0,-0.66,-0.48,1481,volatile,0.0
49,1.0,0,-0.67,-0.66,682,volatile,0.0
50,1.0,1,-0.11,-0.72,691,volatile,0.0
51,1.0,0,-0.36,-0.52,686,volatile,0.0
52,1.0,0,-0.44,-0.76,834,volatile,0.0
53,1.0,0,-0.04,-0.37,1088,volatile,0.0
54,1.0,0,-0.86,-0.09,1030,volatile,0.0
55,1.0,0,-0.99,-0.86,1008,volatile,0.0
56,1.0,0,-0.39,-0.9,865,volatile,0.0
57,1.0,1,-0.82,-0.85,863,volatile,0.0
58,1.0,0,-0.89,-0.99,993,volatile,0.0
59,1.0,1,-0.88,-0.02,994,volatile,0.0
60,1.0,0,-0.05,-0.33,1320,volatile,1.0
61,1.0,1,-0.35,-0.86,1291,volatile,1.0
62,1.0,1,-0.08,-0.13,962,volatile,1.0
63,0.0,1,-0.78,-0.68,598,volatile,1.0
64,0.0,1,-0.05,-0.15,870,volatile,1.0
65,0.0,1,-0.62,-0.42,770,volatile,1.0
66,0.0,0,-0.95,-0.51,997,volatile,1.0
67,0.0,0,-0.59,-0.95,1172,volatile,1.0
68,0.0,0,-0.14,-0.98,1618,volatile,1.0
69,1.0,1,-0.05,-0.84,1092,volatile,1.0
70,1.0,1,-0.38,-0.5,1423,volatile,1.0
71,0.0,1,-0.45,-0.59,759,volatile,1.0
72,0.0,1,-0.32,-0.72,1111,volatile,1.0
73,1.0,1,-0.02,-0.91,1837,volatile,1.0
74,0.0,1,-0.72,-0.99,1371,volatile,1.0
75,0.0,1,-0.61,-0.43,1421,volatile,1.0
76,0.0,1,-0.24,-0.79,1605,volatile,1.0
77,0.0,1,-0.48,-0.15,1408,volatile,1.0
78,0.0,1,-0.5,-0.61,1184,volatile,1.0
79,0.0,1,-0.83,-0.34,1467,volatile,1.0
80,0.0,0,-0.84,-0.92,1242,volatile,1.0
81,0.0,0,-0.71,-0.05,1017,volatile,1.0
82,1.0,0,-0.5,-0.72,1652,volatile,1.0
83,1.0,1,-0.26,-0.29,655,volatile,1.0
84,1.0,1,-0.37,-0.63,1037,volatile,1.0
85,0.0,0,-0.47,-0.12,1529,volatile,1.0
