,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.44,-0.37,1712,stable,0.0
1,1.0,1,-0.66,-0.12,2448,stable,0.0
2,0.0,1,-0.98,-0.02,1504,stable,0.0
3,1.0,0,-0.57,-0.95,1504,stable,0.0
4,0.0,1,-0.28,-0.08,1529,stable,0.0
5,0.0,1,-0.3,-0.33,2042,stable,0.0
6,0.0,1,-0.27,-0.24,1645,stable,0.0
7,0.0,0,-0.58,-0.43,1501,stable,0.0
8,0.0,1,-0.72,-0.47,1533,stable,0.0
9,1.0,0,-0.45,-0.44,1902,stable,0.0
10,0.0,1,-0.69,-0.26,1502,stable,0.0
11,0.0,1,-0.06,-0.41,1975,stable,0.0
12,0.0,0,-0.88,-0.34,1496,stable,0.0
13,0.0,0,-0.73,-0.2,1657,stable,0.0
14,1.0,1,-0.6,-0.25,1146,stable,0.0
15,0.0,0,-0.98,-0.06,1385,stable,0.0
16,0.0,0,-0.48,-0.39,1442,stable,0.0
17,1.0,1,-0.35,-0.95,1290,stable,0.0
18,1.0,1,-0.67,-0.85,1467,stable,0.0
19,0.0,1,-0.54,-0.22,1395,stable,0.0
20,0.0,0,-0.23,-0.9,1605,stable,0.0
21,0.0,1,-0.98,-0.41,1220,stable,0.0
22,1.0,1,-0.58,-0.8,1876,stable,0.0
23,1.0,0,-0.52,-0.85,1800,stable,0.0
24,0.0,0,-0.83,-0.15,1419,stable,0.0
25,1.0,1,-0.18,-0.16,1355,stable,0.0
26,0.0,1,-0.56,-0.7,1534,stable,0.0
27,1.0,1,-0.59,-0.95,2089,stable,0.0
28,0.0,1,-0.68,-0.18,1561,stable,0.0
29,1.0,1,-0.3,-0.16,1947,stable,0.0
30,0.0,0,-0.86,-0.37,1548,stable,0.0
31,0.0,1,-0.47,-0.44,1629,stable,0.0
32,1.0,1,-0.03,-0.91,1485,stable,0.0
33,0.0,0,-0.6,-0.1,1469,stable,0.0
34,0.0,1,-0.54,-0.84,1563,stable,0.0
35,1.0,1,-0.34,-0.95,1637,stable,0.0
36,0.0,0,-0.96,-0.28,1884,stable,0.0
37,0.0,1,-0.83,-0.94,1590,stable,0.0
38,0.0,1,-0.23,-0.86,1537,stable,0.0
39,0.0,1,-0.99,-0.2,1184,stable,0.0
40,0.0,1,-0.29,-0.91,1652,stable,0.0
41,1.0,0,-0.88,-0.64,1805,stable,0.0
42,1.0,1,-0.84,-0.8,1214,stable,0.0
43,0.0,0,-0.61,-0.88,1404,stable,0.0
44,1.0,1,-0.23,-0.77,1510,stable,0.0
45,1.0,1,-0.87,-0.54,1947,stable,0.0
46,1.0,1,-0.25,-0.9,1885,stable,0.0
47,1.0,0,-0.71,-0.44,951,stable,0.0
48,1.0,1,-0.42,-0.52,1432,stable,0.0
49,1.0,1,-0.39,-0.94,1034,stable,0.0
50,1.0,1,-0.39,-0.24,1137,stable,0.0
51,1.0,0,-0.2,-0.1,867,stable,0.0
52,1.0,0,-0.85,-0.43,1636,stable,0.0
53,0.0,0,-0.77,-0.02,1524,stable,0.0
54,1.0,1,-0.54,-0.87,1347,stable,0.0
55,0.0,1,-0.56,-0.57,1598,stable,0.0
56,0.0,1,-0.5,-0.79,1513,stable,0.0
57,0.0,1,-0.04,-0.88,1492,stable,0.0
58,0.0,0,-0.4,-0.38,1573,stable,0.0
59,0.0,1,-0.47,-0.86,1439,stable,0.0
60,0.0,1,-0.15,-0.49,1608,stable,1.0
61,0.0,1,-0.17,-0.39,1425,stable,1.0
62,0.0,0,-0.76,-0.97,1249,stable,1.0
63,1.0,1,-0.73,-0.14,1210,stable,1.0
64,0.0,1,-0.67,-0.29,1189,stable,1.0
65,1.0,1,-0.48,-0.39,1563,stable,1.0
66,1.0,1,-0.3,-0.87,1251,stable,1.0
67,1.0,0,-0.13,-0.37,1395,stable,1.0
68,1.0,1,-0.66,-0.59,1500,stable,1.0
69,1.0,1,-0.2,-0.77,1404,stable,1.0
70,1.0,1,-0.39,-0.28,1404,stable,1.0
71,1.0,1,-0.61,-0.55,1438,stable,1.0
72,0.0,1,-0.62,-0.02,1233,stable,1.0
73,1.0,0,-0.5,-0.8,1090,stable,1.0
74,0.0,0,-0.6,-0.07,833,stable,1.0
75,1.0,0,-0.76,-0.52,1545,stable,1.0
76,0.0,1,-0.49,-0.14,1619,stable,1.0
77,0.0,1,-0.46,-0.36,1220,stable,1.0
78,0.0,1,-0.84,-0.29,1430,stable,1.0
79,0.0,1,-0.44,-0.47,1741,stable,1.0
80,1.0,1,-0.73,-0.44,1581,stable,1.0
81,0.0,1,-0.3,-0.95,1331,stable,1.0
82,0.0,0,-0.8,-0.39,1549,stable,1.0
83,1.0,1,-0.67,-0.61,1549,stable,1.0
84,0.0,1,-0.95,-0.61,1311,stable,1.0
85,1.0,1,-0.65,-0.19,2040,stable,1.0
86,0.0,1,-0.72,-0.33,1552,stable,1.0
87,0.0,0,-0.87,-0.17,1011,stable,1.0
88,1.0,1,-0.65,-0.53,1510,stable,1.0
89,1.0,1,-0.38,-0.76,1533,stable,1.0
90,0.0,1,-0.41,-0.2,1266,volatile,1.0
91,0.0,0,-0.76,-0.69,1222,volatile,1.0
92,1.0,0,-0.73,-0.52,1067,volatile,1.0
93,1.0,0,-0.41,-0.43,1428,volatile,1.0
94,1.0,1,-0.25,-0.34,1493,volatile,1.0
95,0.0,0,-0.34,-0.48,1112,volatile,1.0
96,0.0,0,-0.3,-0.35,945,volatile,1.0
97,1.0,0,-0.91,-0.42,523,volatile,1.0
98,0.0,0,-0.7,-0.44,1436,volatile,1.0
99,0.0,1,-0.64,-0.5,1197,volatile,1.0
100,0.0,0,-0.28,-0.19,1084,volatile,1.0
101,1.0,0,-0.02,-0.59,757,volatile,1.0
102,0.0,0,-0.2,-0.09,932,volatile,1.0
103,1.0,0,-0.32,-0.76,1483,volatile,1.0
104,1.0,0,-0.09,-0.98,1011,volatile,1.0
105,1.0,1,-0.62,-0.56,1501,volatile,1.0
106,0.0,0,-0.17,-0.16,1240,volatile,1.0
107,0.0,0,-0.74,-0.07,1122,volatile,1.0
108,1.0,0,-0.02,-0.41,788,volatile,1.0
109,1.0,0,-0.7,-0.57,1500,volatile,1.0
110,1.0,1,-0.24,-0.28,1421,volatile,1.0
111,1.0,1,-0.59,-0.76,1389,volatile,1.0
112,1.0,0,-0.15,-0.19,1067,volatile,1.0
113,0.0,1,-0.5,-0.68,1155,volatile,1.0
114,1.0,0,-0.43,-0.68,1351,volatile,1.0
115,1.0,1,-0.14,-0.19,1141,volatile,1.0
116,0.0,1,-0.12,-0.11,1274,volatile,1.0
117,0.0,1,-0.4,-0.36,1429,volatile,1.0
118,1.0,1,-0.88,-0.64,1398,volatile,1.0
119,0.0,1,-0.51,-0.03,1215,volatile,1.0
120,1.0,1,-0.44,-0.76,1126,volatile,2.0
121,1.0,1,-0.23,-0.92,1061,volatile,2.0
122,0.0,1,-0.23,-0.14,1165,volatile,2.0
123,0.0,1,-0.94,-0.77,1718,volatile,2.0
124,0.0,0,-0.85,-0.2,1102,volatile,2.0
125,0.0,1,-0.86,-0.63,1815,volatile,2.0
126,0.0,0,-0.82,-0.56,2214,volatile,2.0
127,1.0,0,-0.68,-0.63,1621,volatile,2.0
128,1.0,0,-0.65,-0.8,1742,volatile,2.0
129,0.0,0,-0.25,-0.1,1134,volatile,2.0
130,0.0,0,-0.67,-0.8,1631,volatile,2.0
131,1.0,0,-0.82,-0.57,1391,volatile,2.0
132,0.0,0,-0.88,-0.47,966,volatile,2.0
133,0.0,1,-0.55,-0.99,1499,volatile,2.0
134,1.0,1,-0.74,-0.67,1189,volatile,2.0
135,0.0,0,-0.18,-0.27,2351,volatile,2.0
136,1.0,0,-0.15,-0.67,949,volatile,2.0
137,0.0,0,-0.91,-0.32,1005,volatile,2.0
138,0.0,0,-0.66,-0.48,1005,volatile,2.0
139,0.0,0,-0.67,-0.66,1046,volatile,2.0
140,1.0,1,-0.11,-0.72,1078,volatile,2.0
141,1.0,0,-0.36,-0.52,1126,volatile,2.0
142,0.0,0,-0.44,-0.76,1310,volatile,2.0
143,1.0,0,-0.04,-0.37,862,volatile,2.0
144,0.0,0,-0.86,-0.09,743,volatile,2.0
145,1.0,0,-0.99,-0.86,1390,volatile,2.0
146,1.0,0,-0.39,-0.9,1292,volatile,2.0
147,0.0,1,-0.82,-0.85,1974,volatile,2.0
148,1.0,0,-0.89,-0.99,1253,volatile,2.0
149,0.0,1,-0.88,-0.02,766,volatile,2.0
150,1.0,0,-0.05,-0.33,925,volatile,2.0
151,1.0,1,-0.35,-0.86,1494,volatile,2.0
152,1.0,1,-0.08,-0.13,743,volatile,2.0
153,1.0,1,-0.78,-0.68,1103,volatile,2.0
154,1.0,1,-0.05,-0.15,950,volatile,2.0
155,1.0,1,-0.62,-0.42,1230,volatile,2.0
156,0.0,0,-0.95,-0.51,1311,volatile,2.0
157,1.0,0,-0.59,-0.95,471,volatile,2.0
158,0.0,0,-0.14,-0.98,422,volatile,2.0
159,0.0,1,-0.05,-0.84,312,volatile,2.0
160,1.0,1,-0.38,-0.5,1206,volatile,2.0
161,0.0,1,-0.45,-0.59,1238,volatile,2.0
162,1.0,1,-0.32,-0.72,1228,volatile,2.0
163,1.0,1,-0.02,-0.91,678,volatile,2.0
164,0.0,1,-0.72,-0.99,1230,volatile,2.0
165,1.0,1,-0.61,-0.43,1310,volatile,2.0
166,1.0,1,-0.24,-0.79,1062,volatile,2.0
167,0.0,1,-0.48,-0.15,989,volatile,2.0
168,0.0,1,-0.5,-0.61,1229,volatile,2.0
169,1.0,1,-0.83,-0.34,1573,volatile,2.0
170,0.0,0,-0.84,-0.92,862,volatile,2.0
171,1.0,0,-0.71,-0.05,430,volatile,2.0
172,1.0,0,-0.5,-0.72,1247,volatile,2.0
173,1.0,1,-0.26,-0.29,1222,volatile,2.0
174,0.0,1,-0.37,-0.63,942,volatile,2.0
175,1.0,0,-0.47,-0.12,1678,volatile,2.0
176,0.0,0,-0.36,-0.81,864,volatile,2.0
177,0.0,0,-0.87,-0.59,988,volatile,2.0
178,0.0,0,-0.26,-0.75,968,volatile,2.0
179,0.0,0,-0.17,-0.19,326,volatile,2.0
