,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1854,volatile,0.0
1,1.0,0,-0.76,-0.69,610,volatile,0.0
2,1.0,0,-0.73,-0.52,517,volatile,0.0
3,0.0,0,-0.41,-0.43,663,volatile,0.0
4,1.0,1,-0.25,-0.34,646,volatile,0.0
5,0.0,0,-0.34,-0.48,404,volatile,0.0
6,0.0,0,-0.3,-0.35,741,volatile,0.0
7,1.0,0,-0.91,-0.42,415,volatile,0.0
8,0.0,0,-0.7,-0.44,736,volatile,0.0
9,0.0,1,-0.64,-0.5,537,volatile,0.0
10,0.0,0,-0.28,-0.19,908,volatile,0.0
11,1.0,0,-0.02,-0.59,592,volatile,0.0
12,1.0,0,-0.2,-0.09,663,volatile,0.0
13,1.0,0,-0.32,-0.76,1583,volatile,0.0
14,1.0,0,-0.09,-0.98,827,volatile,0.0
15,0.0,1,-0.62,-0.56,998,volatile,0.0
16,0.0,0,-0.17,-0.16,707,volatile,0.0
17,0.0,0,-0.74,-0.07,498,volatile,0.0
18,0.0,0,-0.02,-0.41,625,volatile,0.0
19,1.0,0,-0.7,-0.57,321,volatile,0.0
20,1.0,1,-0.24,-0.28,871,volatile,0.0
21,1.0,1,-0.59,-0.76,367,volatile,0.0
22,0.0,0,-0.15,-0.19,444,volatile,0.0
23,0.0,1,-0.5,-0.68,779,volatile,0.0
24,1.0,0,-0.43,-0.68,1701,volatile,0.0
25,0.0,1,-0.14,-0.19,2631,volatile,0.0
26,0.0,1,-0.12,-0.11,856,volatile,0.0
27,0.0,1,-0.4,-0.36,761,volatile,0.0
28,0.0,1,-0.88,-0.64,716,volatile,0.0
29,0.0,1,-0.51,-0.03,694,volatile,0.0
30,0.0,1,-0.44,-0.76,1118,volatile,0.0
31,1.0,1,-0.23,-0.92,824,volatile,0.0
32,0.0,1,-0.23,-0.14,436,volatile,0.0
33,0.0,1,-0.94,-0.77,1242,volatile,0.0
34,0.0,0,-0.85,-0.2,799,volatile,0.0
35,1.0,1,-0.86,-0.63,1116,volatile,0.0
36,0.0,0,-0.82,-0.56,467,volatile,0.0
37,1.0,0,-0.68,-0.63,648,volatile,0.0
38,1.0,0,-0.65,-0.8,683,volatile,0.0
39,1.0,0,-0.25,-0.1,792,volatile,0.0
40,0.0,0,-0.67,-0.8,953,volatile,0.0
41,0.0,0,-0.82,-0.57,475,volatile,0.0
42,1.0,0,-0.88,-0.47,752,volatile,0.0
43,0.0,1,-0.55,-0.99,628,volatile,0.0
44,0.0,1,-0.74,-0.67,869,volatile,0.0
45,1.0,0,-0.18,-0.27,999,volatile,0.0
46,1.0,0,-0.15,-0.67,552,volatile,0.0
47,0.0,0,-0.91,-0.32,420,volatile,0.0
48,0.0,0,-0.66,-0.48,643,volatile,0.0
49,0.0,0,-0.67,-0.66,604,volatile,0.0
50,1.0,1,-0.11,-0.72,769,volatile,0.0
51,0.0,0,-0.36,-0.52,1814,volatile,0.0
52,1.0,0,-0.44,-0.76,612,volatile,0.0
53,1.0,0,-0.04,-0.37,729,volatile,0.0
54,0.0,0,-0.86,-0.09,714,volatile,0.0
55,1.0,0,-0.99,-0.86,518,volatile,0.0
56,0.0,0,-0.39,-0.9,638,volatile,0.0
57,0.0,1,-0.82,-0.85,486,volatile,0.0
58,0.0,0,-0.89,-0.99,470,volatile,0.0
59,1.0,1,-0.88,-0.02,336,volatile,0.0
60,1.0,0,-0.05,-0.33,273,volatile,1.0
61,0.0,1,-0.35,-0.86,442,volatile,1.0
62,0.0,1,-0.08,-0.13,672,volatile,1.0
63,1.0,1,-0.78,-0.68,1397,volatile,1.0
64,1.0,1,-0.05,-0.15,746,volatile,1.0
65,1.0,1,-0.62,-0.42,774,volatile,1.0
66,1.0,0,-0.95,-0.51,756,volatile,1.0
67,0.0,0,-0.59,-0.95,515,volatile,1.0
68,1.0,0,-0.14,-0.98,562,volatile,1.0
69,1.0,1,-0.05,-0.84,742,volatile,1.0
70,1.0,1,-0.38,-0.5,872,volatile,1.0
71,1.0,1,-0.45,-0.59,531,volatile,1.0
72,1.0,1,-0.32,-0.72,893,volatile,1.0
73,0.0,1,-0.02,-0.91,579,volatile,1.0
74,0.0,1,-0.72,-0.99,875,volatile,1.0
75,1.0,1,-0.61,-0.43,454,volatile,1.0
76,0.0,1,-0.24,-0.79,575,volatile,1.0
77,1.0,1,-0.48,-0.15,625,volatile,1.0
78,1.0,1,-0.5,-0.61,530,volatile,1.0
79,0.0,1,-0.83,-0.34,537,volatile,1.0
80,0.0,0,-0.84,-0.92,500,volatile,1.0
81,0.0,0,-0.71,-0.05,681,volatile,1.0
82,0.0,0,-0.5,-0.72,757,volatile,1.0
83,1.0,1,-0.26,-0.29,607,volatile,1.0
84,0.0,1,-0.37,-0.63,542,volatile,1.0
85,0.0,0,-0.47,-0.12,615,volatile,1.0
86,0.0,0,-0.36,-0.81,547,volatile,1.0
87,0.0,0,-0.87,-0.59,656,volatile,1.0
88,0.0,0,-0.26,-0.75,372,volatile,1.0
89,1.0,0,-0.17,-0.19,572,volatile,1.0
90,1.0,1,-0.44,-0.37,1699,stable,1.0
91,1.0,1,-0.66,-0.12,529,stable,1.0
92,1.0,1,-0.98,-0.02,345,stable,1.0
93,1.0,0,-0.57,-0.95,430,stable,1.0
94,0.0,1,-0.28,-0.08,555,stable,1.0
95,1.0,1,-0.3,-0.33,707,stable,1.0
96,1.0,1,-0.27,-0.24,401,stable,1.0
97,0.0,0,-0.58,-0.43,528,stable,1.0
98,0.0,1,-0.72,-0.47,444,stable,1.0
99,0.0,0,-0.45,-0.44,368,stable,1.0
100,1.0,1,-0.69,-0.26,1253,stable,1.0
101,0.0,1,-0.06,-0.41,432,stable,1.0
