,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1154,volatile,0.0
1,0.0,0,-0.76,-0.69,1112,volatile,0.0
2,0.0,0,-0.73,-0.52,1358,volatile,0.0
3,1.0,0,-0.41,-0.43,1342,volatile,0.0
4,1.0,1,-0.25,-0.34,912,volatile,0.0
5,1.0,0,-0.34,-0.48,1349,volatile,0.0
6,1.0,0,-0.3,-0.35,1201,volatile,0.0
7,1.0,0,-0.91,-0.42,1395,volatile,0.0
8,1.0,0,-0.7,-0.44,1081,volatile,0.0
9,1.0,1,-0.64,-0.5,721,volatile,0.0
10,1.0,0,-0.28,-0.19,1121,volatile,0.0
11,1.0,0,-0.02,-0.59,760,volatile,0.0
12,1.0,0,-0.2,-0.09,556,volatile,0.0
13,1.0,0,-0.32,-0.76,586,volatile,0.0
14,1.0,0,-0.09,-0.98,627,volatile,0.0
15,1.0,1,-0.62,-0.56,1193,volatile,0.0
16,1.0,0,-0.17,-0.16,861,volatile,0.0
17,1.0,0,-0.74,-0.07,715,volatile,0.0
18,1.0,0,-0.02,-0.41,650,volatile,0.0
19,1.0,0,-0.7,-0.57,815,volatile,0.0
20,1.0,1,-0.24,-0.28,637,volatile,0.0
21,1.0,1,-0.59,-0.76,1512,volatile,0.0
22,1.0,0,-0.15,-0.19,794,volatile,0.0
23,1.0,1,-0.5,-0.68,693,volatile,0.0
24,1.0,0,-0.43,-0.68,835,volatile,0.0
25,1.0,1,-0.14,-0.19,546,volatile,0.0
26,1.0,1,-0.12,-0.11,1096,volatile,0.0
27,1.0,1,-0.4,-0.36,1293,volatile,0.0
28,1.0,1,-0.88,-0.64,782,volatile,0.0
29,1.0,1,-0.51,-0.03,672,volatile,0.0
30,1.0,1,-0.44,-0.76,589,volatile,0.0
31,1.0,1,-0.23,-0.92,740,volatile,0.0
32,1.0,1,-0.23,-0.14,743,volatile,0.0
33,1.0,1,-0.94,-0.77,1852,volatile,0.0
34,1.0,0,-0.85,-0.2,593,volatile,0.0
35,1.0,1,-0.86,-0.63,4130,volatile,0.0
36,1.0,0,-0.82,-0.56,755,volatile,0.0
37,1.0,0,-0.68,-0.63,749,volatile,0.0
38,1.0,0,-0.65,-0.8,1152,volatile,0.0
39,1.0,0,-0.25,-0.1,1028,volatile,0.0
40,0.0,0,-0.67,-0.8,1989,volatile,0.0
41,1.0,0,-0.82,-0.57,2715,volatile,0.0
42,1.0,0,-0.88,-0.47,2031,volatile,0.0
43,1.0,1,-0.55,-0.99,1601,volatile,0.0
44,1.0,1,-0.74,-0.67,2228,volatile,0.0
45,1.0,0,-0.18,-0.27,1737,volatile,0.0
46,1.0,0,-0.15,-0.67,1120,volatile,0.0
47,1.0,0,-0.91,-0.32,1104,volatile,0.0
48,1.0,0,-0.66,-0.48,2495,volatile,0.0
49,1.0,0,-0.67,-0.66,1281,volatile,0.0
50,1.0,1,-0.11,-0.72,1064,volatile,0.0
51,1.0,0,-0.36,-0.52,3478,volatile,0.0
52,1.0,0,-0.44,-0.76,1276,volatile,0.0
53,1.0,0,-0.04,-0.37,1033,volatile,0.0
54,1.0,0,-0.86,-0.09,937,volatile,0.0
55,1.0,0,-0.99,-0.86,921,volatile,0.0
56,1.0,0,-0.39,-0.9,1289,volatile,0.0
57,1.0,1,-0.82,-0.85,1718,volatile,0.0
58,1.0,0,-0.89,-0.99,947,volatile,0.0
59,1.0,1,-0.88,-0.02,989,volatile,0.0
60,1.0,0,-0.05,-0.33,941,volatile,1.0
61,1.0,1,-0.35,-0.86,892,volatile,1.0
62,1.0,1,-0.08,-0.13,571,volatile,1.0
63,1.0,1,-0.78,-0.68,1391,volatile,1.0
64,1.0,1,-0.05,-0.15,1014,volatile,1.0
65,1.0,1,-0.62,-0.42,1353,volatile,1.0
66,1.0,0,-0.95,-0.51,1125,volatile,1.0
67,1.0,0,-0.59,-0.95,727,volatile,1.0
68,1.0,0,-0.14,-0.98,716,volatile,1.0
69,1.0,1,-0.05,-0.84,1099,volatile,1.0
70,1.0,1,-0.38,-0.5,893,volatile,1.0
71,1.0,1,-0.45,-0.59,544,volatile,1.0
72,1.0,1,-0.32,-0.72,1229,volatile,1.0
73,1.0,1,-0.02,-0.91,789,volatile,1.0
74,1.0,1,-0.72,-0.99,540,volatile,1.0
75,1.0,1,-0.61,-0.43,759,volatile,1.0
76,1.0,1,-0.24,-0.79,738,volatile,1.0
77,1.0,1,-0.48,-0.15,681,volatile,1.0
78,1.0,1,-0.5,-0.61,744,volatile,1.0
79,1.0,1,-0.83,-0.34,563,volatile,1.0
80,1.0,0,-0.84,-0.92,847,volatile,1.0
81,1.0,0,-0.71,-0.05,600,volatile,1.0
82,1.0,0,-0.5,-0.72,551,volatile,1.0
83,1.0,1,-0.26,-0.29,513,volatile,1.0
84,1.0,1,-0.37,-0.63,959,volatile,1.0
85,1.0,0,-0.47,-0.12,890,volatile,1.0
86,1.0,0,-0.36,-0.81,1180,volatile,1.0
87,1.0,0,-0.87,-0.59,3091,volatile,1.0
88,1.0,0,-0.26,-0.75,1376,volatile,1.0
89,1.0,0,-0.17,-0.19,582,volatile,1.0
90,1.0,1,-0.44,-0.37,1057,stable,1.0
91,1.0,1,-0.66,-0.12,474,stable,1.0
92,1.0,1,-0.98,-0.02,570,stable,1.0
93,1.0,0,-0.57,-0.95,598,stable,1.0
94,1.0,1,-0.28,-0.08,564,stable,1.0
95,1.0,1,-0.3,-0.33,485,stable,1.0
96,0.0,1,-0.27,-0.24,555,stable,1.0
97,0.0,0,-0.58,-0.43,514,stable,1.0
98,0.0,1,-0.72,-0.47,482,stable,1.0
99,0.0,0,-0.45,-0.44,537,stable,1.0
100,0.0,1,-0.69,-0.26,979,stable,1.0
101,0.0,1,-0.06,-0.41,495,stable,1.0
102,0.0,0,-0.88,-0.34,1102,stable,1.0
103,0.0,0,-0.73,-0.2,550,stable,1.0
104,0.0,1,-0.6,-0.25,1054,stable,1.0
105,0.0,0,-0.98,-0.06,540,stable,1.0
106,0.0,0,-0.48,-0.39,684,stable,1.0
107,0.0,1,-0.35,-0.95,675,stable,1.0
108,0.0,1,-0.67,-0.85,1635,stable,1.0
109,0.0,1,-0.54,-0.22,512,stable,1.0
110,0.0,0,-0.23,-0.9,5268,stable,1.0
111,0.0,1,-0.98,-0.41,699,stable,1.0
112,0.0,1,-0.58,-0.8,682,stable,1.0
113,0.0,0,-0.52,-0.85,571,stable,1.0
114,0.0,0,-0.83,-0.15,714,stable,1.0
115,0.0,1,-0.18,-0.16,479,stable,1.0
116,0.0,1,-0.56,-0.7,574,stable,1.0
117,0.0,1,-0.59,-0.95,1930,stable,1.0
118,0.0,1,-0.68,-0.18,621,stable,1.0
119,0.0,1,-0.3,-0.16,491,stable,1.0
120,0.0,0,-0.86,-0.37,746,stable,2.0
121,0.0,1,-0.47,-0.44,576,stable,2.0
122,0.0,1,-0.03,-0.91,1351,stable,2.0
123,0.0,0,-0.6,-0.1,499,stable,2.0
124,0.0,1,-0.54,-0.84,465,stable,2.0
125,0.0,1,-0.34,-0.95,637,stable,2.0
126,0.0,0,-0.96,-0.28,579,stable,2.0
127,0.0,1,-0.83,-0.94,621,stable,2.0
128,0.0,1,-0.23,-0.86,731,stable,2.0
129,0.0,1,-0.99,-0.2,718,stable,2.0
130,0.0,1,-0.29,-0.91,491,stable,2.0
131,0.0,0,-0.88,-0.64,548,stable,2.0
132,0.0,1,-0.84,-0.8,624,stable,2.0
133,0.0,0,-0.61,-0.88,571,stable,2.0
134,0.0,1,-0.23,-0.77,735,stable,2.0
135,0.0,1,-0.87,-0.54,1143,stable,2.0
136,0.0,1,-0.25,-0.9,581,stable,2.0
137,0.0,0,-0.71,-0.44,865,stable,2.0
138,0.0,1,-0.42,-0.52,998,stable,2.0
139,0.0,1,-0.39,-0.94,555,stable,2.0
140,0.0,1,-0.39,-0.24,542,stable,2.0
141,0.0,0,-0.2,-0.1,513,stable,2.0
142,0.0,0,-0.85,-0.43,1003,stable,2.0
143,0.0,0,-0.77,-0.02,1935,stable,2.0
144,0.0,1,-0.54,-0.87,628,stable,2.0
145,0.0,1,-0.56,-0.57,483,stable,2.0
146,0.0,1,-0.5,-0.79,532,stable,2.0
147,0.0,1,-0.04,-0.88,1113,stable,2.0
148,0.0,0,-0.4,-0.38,930,stable,2.0
149,0.0,1,-0.47,-0.86,554,stable,2.0
150,0.0,1,-0.15,-0.49,554,stable,2.0
151,0.0,1,-0.17,-0.39,661,stable,2.0
152,0.0,0,-0.76,-0.97,762,stable,2.0
153,0.0,1,-0.73,-0.14,491,stable,2.0
154,0.0,1,-0.67,-0.29,418,stable,2.0
155,1.0,1,-0.48,-0.39,855,stable,2.0
156,0.0,1,-0.3,-0.87,447,stable,2.0
157,0.0,0,-0.13,-0.37,562,stable,2.0
158,1.0,1,-0.66,-0.59,1031,stable,2.0
159,0.0,1,-0.2,-0.77,410,stable,2.0
160,0.0,1,-0.39,-0.28,1214,stable,2.0
161,0.0,1,-0.61,-0.55,811,stable,2.0
162,0.0,1,-0.62,-0.02,852,stable,2.0
163,0.0,0,-0.5,-0.8,520,stable,2.0
164,1.0,0,-0.6,-0.07,795,stable,2.0
165,0.0,0,-0.76,-0.52,565,stable,2.0
166,0.0,1,-0.49,-0.14,525,stable,2.0
167,0.0,1,-0.46,-0.36,505,stable,2.0
168,0.0,1,-0.84,-0.29,811,stable,2.0
169,0.0,1,-0.44,-0.47,888,stable,2.0
170,0.0,1,-0.73,-0.44,646,stable,2.0
171,0.0,1,-0.3,-0.95,542,stable,2.0
172,0.0,0,-0.8,-0.39,741,stable,2.0
173,0.0,1,-0.67,-0.61,445,stable,2.0
174,0.0,1,-0.95,-0.61,639,stable,2.0
175,0.0,1,-0.65,-0.19,539,stable,2.0
176,0.0,1,-0.72,-0.33,526,stable,2.0
177,0.0,0,-0.87,-0.17,646,stable,2.0
178,0.0,1,-0.65,-0.53,450,stable,2.0
179,0.0,1,-0.38,-0.76,620,stable,2.0
