,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1836,volatile,0.0
1,0.0,0,-0.76,-0.69,1019,volatile,0.0
2,1.0,0,-0.73,-0.52,929,volatile,0.0
3,1.0,0,-0.41,-0.43,853,volatile,0.0
4,1.0,1,-0.25,-0.34,733,volatile,0.0
5,1.0,0,-0.34,-0.48,708,volatile,0.0
6,0.0,0,-0.3,-0.35,611,volatile,0.0
7,1.0,0,-0.91,-0.42,529,volatile,0.0
8,1.0,0,-0.7,-0.44,697,volatile,0.0
9,1.0,1,-0.64,-0.5,672,volatile,0.0
10,1.0,0,-0.28,-0.19,722,volatile,0.0
11,1.0,0,-0.02,-0.59,592,volatile,0.0
12,1.0,0,-0.2,-0.09,685,volatile,0.0
13,1.0,0,-0.32,-0.76,609,volatile,0.0
14,1.0,0,-0.09,-0.98,699,volatile,0.0
15,1.0,1,-0.62,-0.56,760,volatile,0.0
16,0.0,0,-0.17,-0.16,566,volatile,0.0
17,0.0,0,-0.74,-0.07,718,volatile,0.0
18,1.0,0,-0.02,-0.41,583,volatile,0.0
19,1.0,0,-0.7,-0.57,634,volatile,0.0
20,1.0,1,-0.24,-0.28,668,volatile,0.0
21,1.0,1,-0.59,-0.76,689,volatile,0.0
22,0.0,0,-0.15,-0.19,588,volatile,0.0
23,1.0,1,-0.5,-0.68,766,volatile,0.0
24,1.0,0,-0.43,-0.68,685,volatile,0.0
25,1.0,1,-0.14,-0.19,746,volatile,0.0
26,1.0,1,-0.12,-0.11,599,volatile,0.0
27,0.0,1,-0.4,-0.36,605,volatile,0.0
28,0.0,1,-0.88,-0.64,802,volatile,0.0
29,0.0,1,-0.51,-0.03,644,volatile,0.0
30,0.0,1,-0.44,-0.76,831,volatile,0.0
31,0.0,1,-0.23,-0.92,730,volatile,0.0
32,1.0,1,-0.23,-0.14,665,volatile,0.0
33,0.0,1,-0.94,-0.77,633,volatile,0.0
34,0.0,0,-0.85,-0.2,593,volatile,0.0
35,1.0,1,-0.86,-0.63,1283,volatile,0.0
36,0.0,0,-0.82,-0.56,776,volatile,0.0
37,0.0,0,-0.68,-0.63,671,volatile,0.0
38,1.0,0,-0.65,-0.8,540,volatile,0.0
39,1.0,0,-0.25,-0.1,857,volatile,0.0
40,1.0,0,-0.67,-0.8,656,volatile,0.0
41,1.0,0,-0.82,-0.57,668,volatile,0.0
42,1.0,0,-0.88,-0.47,675,volatile,0.0
43,1.0,1,-0.55,-0.99,753,volatile,0.0
44,1.0,1,-0.74,-0.67,604,volatile,0.0
45,0.0,0,-0.18,-0.27,1710,volatile,0.0
46,0.0,0,-0.15,-0.67,1087,volatile,0.0
47,1.0,0,-0.91,-0.32,853,volatile,0.0
48,1.0,0,-0.66,-0.48,694,volatile,0.0
49,1.0,0,-0.67,-0.66,1174,volatile,0.0
50,1.0,1,-0.11,-0.72,1332,volatile,0.0
51,1.0,0,-0.36,-0.52,650,volatile,0.0
52,1.0,0,-0.44,-0.76,745,volatile,0.0
53,1.0,0,-0.04,-0.37,745,volatile,0.0
54,1.0,0,-0.86,-0.09,806,volatile,0.0
55,1.0,0,-0.99,-0.86,1081,volatile,0.0
56,1.0,0,-0.39,-0.9,849,volatile,0.0
57,1.0,1,-0.82,-0.85,583,volatile,0.0
58,0.0,0,-0.89,-0.99,622,volatile,0.0
59,1.0,1,-0.88,-0.02,652,volatile,0.0
60,0.0,0,-0.05,-0.33,752,volatile,1.0
61,1.0,1,-0.35,-0.86,797,volatile,1.0
62,1.0,1,-0.08,-0.13,548,volatile,1.0
63,1.0,1,-0.78,-0.68,500,volatile,1.0
