,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,2578,volatile,0.0
1,0.0,0,-0.76,-0.69,1329,volatile,0.0
2,0.0,0,-0.73,-0.52,1201,volatile,0.0
3,0.0,0,-0.41,-0.43,1186,volatile,0.0
4,1.0,1,-0.25,-0.34,1098,volatile,0.0
5,1.0,0,-0.34,-0.48,1210,volatile,0.0
6,1.0,0,-0.3,-0.35,1016,volatile,0.0
7,1.0,0,-0.91,-0.42,1211,volatile,0.0
8,1.0,0,-0.7,-0.44,1177,volatile,0.0
9,1.0,1,-0.64,-0.5,955,volatile,0.0
10,1.0,0,-0.28,-0.19,1272,volatile,0.0
11,1.0,0,-0.02,-0.59,1133,volatile,0.0
12,1.0,0,-0.2,-0.09,1062,volatile,0.0
13,1.0,0,-0.32,-0.76,1051,volatile,0.0
14,1.0,0,-0.09,-0.98,807,volatile,0.0
15,1.0,1,-0.62,-0.56,1090,volatile,0.0
16,1.0,0,-0.17,-0.16,735,volatile,0.0
17,1.0,0,-0.74,-0.07,1285,volatile,0.0
18,1.0,0,-0.02,-0.41,1146,volatile,0.0
19,1.0,0,-0.7,-0.57,1194,volatile,0.0
20,1.0,1,-0.24,-0.28,1066,volatile,0.0
21,1.0,1,-0.59,-0.76,1002,volatile,0.0
22,1.0,0,-0.15,-0.19,1241,volatile,0.0
23,1.0,1,-0.5,-0.68,1080,volatile,0.0
24,1.0,0,-0.43,-0.68,1018,volatile,0.0
25,1.0,1,-0.14,-0.19,570,volatile,0.0
26,1.0,1,-0.12,-0.11,1130,volatile,0.0
27,1.0,1,-0.4,-0.36,938,volatile,0.0
28,0.0,1,-0.88,-0.64,983,volatile,0.0
29,0.0,1,-0.51,-0.03,763,volatile,0.0
30,0.0,1,-0.44,-0.76,1003,volatile,0.0
31,0.0,1,-0.23,-0.92,777,volatile,0.0
32,0.0,1,-0.23,-0.14,840,volatile,0.0
33,0.0,1,-0.94,-0.77,795,volatile,0.0
34,0.0,0,-0.85,-0.2,1130,volatile,0.0
35,0.0,1,-0.86,-0.63,1083,volatile,0.0
36,0.0,0,-0.82,-0.56,986,volatile,0.0
37,0.0,0,-0.68,-0.63,938,volatile,0.0
38,0.0,0,-0.65,-0.8,1089,volatile,0.0
39,0.0,0,-0.25,-0.1,706,volatile,0.0
40,1.0,0,-0.67,-0.8,730,volatile,0.0
41,1.0,0,-0.82,-0.57,569,volatile,0.0
42,1.0,0,-0.88,-0.47,1085,volatile,0.0
43,1.0,1,-0.55,-0.99,586,volatile,0.0
44,1.0,1,-0.74,-0.67,921,volatile,0.0
45,1.0,0,-0.18,-0.27,1493,volatile,0.0
46,1.0,0,-0.15,-0.67,872,volatile,0.0
47,1.0,0,-0.91,-0.32,698,volatile,0.0
48,1.0,0,-0.66,-0.48,778,volatile,0.0
49,1.0,0,-0.67,-0.66,746,volatile,0.0
50,1.0,1,-0.11,-0.72,554,volatile,0.0
51,1.0,0,-0.36,-0.52,588,volatile,0.0
52,1.0,0,-0.44,-0.76,714,volatile,0.0
53,1.0,0,-0.04,-0.37,601,volatile,0.0
54,1.0,0,-0.86,-0.09,747,volatile,0.0
55,1.0,0,-0.99,-0.86,745,volatile,0.0
56,1.0,0,-0.39,-0.9,699,volatile,0.0
57,1.0,1,-0.82,-0.85,874,volatile,0.0
58,1.0,0,-0.89,-0.99,747,volatile,0.0
59,1.0,1,-0.88,-0.02,776,volatile,0.0
60,1.0,0,-0.05,-0.33,778,volatile,1.0
61,1.0,1,-0.35,-0.86,827,volatile,1.0
62,1.0,1,-0.08,-0.13,762,volatile,1.0
63,1.0,1,-0.78,-0.68,856,volatile,1.0
64,0.0,1,-0.05,-0.15,634,volatile,1.0
65,0.0,1,-0.62,-0.42,649,volatile,1.0
66,0.0,0,-0.95,-0.51,650,volatile,1.0
67,0.0,0,-0.59,-0.95,890,volatile,1.0
68,0.0,0,-0.14,-0.98,698,volatile,1.0
69,1.0,1,-0.05,-0.84,970,volatile,1.0
70,1.0,1,-0.38,-0.5,815,volatile,1.0
71,1.0,1,-0.45,-0.59,1011,volatile,1.0
72,0.0,1,-0.32,-0.72,603,volatile,1.0
73,0.0,1,-0.02,-0.91,714,volatile,1.0
74,0.0,1,-0.72,-0.99,779,volatile,1.0
75,0.0,1,-0.61,-0.43,777,volatile,1.0
76,0.0,1,-0.24,-0.79,616,volatile,1.0
77,0.0,1,-0.48,-0.15,906,volatile,1.0
78,0.0,1,-0.5,-0.61,906,volatile,1.0
79,0.0,1,-0.83,-0.34,731,volatile,1.0
80,0.0,0,-0.84,-0.92,729,volatile,1.0
81,0.0,0,-0.71,-0.05,747,volatile,1.0
82,0.0,0,-0.5,-0.72,827,volatile,1.0
83,1.0,1,-0.26,-0.29,570,volatile,1.0
84,1.0,1,-0.37,-0.63,746,volatile,1.0
85,0.0,0,-0.47,-0.12,649,volatile,1.0
86,0.0,0,-0.36,-0.81,650,volatile,1.0
87,0.0,0,-0.87,-0.59,1434,volatile,1.0
88,1.0,0,-0.26,-0.75,1354,volatile,1.0
89,1.0,0,-0.17,-0.19,681,volatile,1.0
90,1.0,1,-0.44,-0.37,2182,stable,1.0
91,1.0,1,-0.66,-0.12,664,stable,1.0
92,1.0,1,-0.98,-0.02,697,stable,1.0
93,1.0,0,-0.57,-0.95,874,stable,1.0
94,1.0,1,-0.28,-0.08,599,stable,1.0
95,1.0,1,-0.3,-0.33,619,stable,1.0
96,0.0,1,-0.27,-0.24,1066,stable,1.0
97,0.0,0,-0.58,-0.43,553,stable,1.0
98,0.0,1,-0.72,-0.47,554,stable,1.0
99,0.0,0,-0.45,-0.44,600,stable,1.0
100,0.0,1,-0.69,-0.26,635,stable,1.0
101,0.0,1,-0.06,-0.41,572,stable,1.0
