,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,0,-0.1,-0.23,1316,volatile,0.0
1,0.0,0,-0.97,-0.45,949,volatile,0.0
2,0.0,0,-0.62,-0.54,1285,volatile,0.0
3,1.0,1,-0.16,-0.99,952,volatile,0.0
4,1.0,0,-0.4,-0.72,1060,volatile,0.0
5,1.0,0,-0.88,-0.98,1187,volatile,0.0
6,0.0,0,-0.54,-0.06,1209,volatile,0.0
7,1.0,0,-0.55,-0.64,1535,volatile,0.0
8,1.0,0,-0.45,-0.96,1701,volatile,0.0
9,1.0,0,-0.19,-0.28,2240,volatile,0.0
10,1.0,0,-0.26,-0.95,1173,volatile,0.0
11,1.0,0,-0.29,-0.9,1101,volatile,0.0
12,0.0,0,-0.53,-0.2,1218,volatile,0.0
13,1.0,0,-0.56,-0.74,1442,volatile,0.0
14,0.0,0,-0.42,-0.18,1234,volatile,0.0
15,0.0,0,-0.91,-0.11,1274,volatile,0.0
16,1.0,1,-0.31,-0.32,1734,volatile,0.0
17,0.0,1,-0.81,-0.67,1577,volatile,0.0
18,1.0,1,-0.36,-0.32,1462,volatile,0.0
19,0.0,0,-0.81,-0.72,1601,volatile,0.0
20,1.0,1,-0.54,-0.95,1200,volatile,0.0
21,0.0,1,-0.59,-0.4,1933,volatile,0.0
22,1.0,1,-0.24,-0.29,1170,volatile,0.0
23,1.0,1,-0.51,-0.6,2036,volatile,0.0
24,1.0,1,-0.65,-0.83,1393,volatile,0.0
25,0.0,0,-0.98,-0.78,1925,volatile,0.0
26,1.0,1,-0.51,-0.56,1448,volatile,0.0
27,0.0,1,-0.2,-0.05,2528,volatile,0.0
28,1.0,1,-0.02,-0.67,2901,volatile,0.0
29,1.0,1,-0.84,-0.85,1877,volatile,0.0
30,0.0,0,-0.49,-0.07,3069,volatile,0.0
31,0.0,1,-0.47,-0.37,2863,volatile,0.0
32,0.0,1,-0.91,-0.27,2117,volatile,0.0
33,1.0,1,-0.42,-0.44,2696,volatile,0.0
34,0.0,0,-0.55,-0.31,2228,volatile,0.0
35,1.0,1,-0.7,-0.97,2240,volatile,0.0
36,1.0,0,-0.79,-0.89,1961,volatile,0.0
37,0.0,0,-0.86,-0.83,2525,volatile,0.0
38,0.0,0,-0.62,-0.4,2165,volatile,0.0
39,1.0,0,-0.23,-0.36,1698,volatile,0.0
40,1.0,0,-0.61,-0.65,2072,volatile,0.0
41,1.0,0,-0.67,-0.74,2497,volatile,0.0
42,1.0,0,-0.41,-0.73,1306,volatile,0.0
43,1.0,1,-0.54,-0.96,1326,volatile,0.0
44,0.0,0,-0.88,-0.86,3337,volatile,0.0
