,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1757,stable,0.0
1,0.0,1,-0.66,-0.12,1011,stable,0.0
2,0.0,1,-0.98,-0.02,757,stable,0.0
3,0.0,0,-0.57,-0.95,1064,stable,0.0
4,0.0,1,-0.28,-0.08,1167,stable,0.0
5,0.0,1,-0.3,-0.33,2057,stable,0.0
6,0.0,1,-0.27,-0.24,1168,stable,0.0
7,0.0,0,-0.58,-0.43,1062,stable,0.0
8,0.0,1,-0.72,-0.47,974,stable,0.0
9,0.0,0,-0.45,-0.44,1045,stable,0.0
10,0.0,1,-0.69,-0.26,1418,stable,0.0
11,1.0,1,-0.06,-0.41,1882,stable,0.0
12,0.0,0,-0.88,-0.34,1706,stable,0.0
13,0.0,0,-0.73,-0.2,1843,stable,0.0
14,1.0,1,-0.6,-0.25,1713,stable,0.0
15,0.0,0,-0.98,-0.06,1235,stable,0.0
16,1.0,0,-0.48,-0.39,1581,stable,0.0
17,1.0,1,-0.35,-0.95,843,stable,0.0
18,1.0,1,-0.67,-0.85,2583,stable,0.0
19,0.0,1,-0.54,-0.22,1529,stable,0.0
20,0.0,0,-0.23,-0.9,1672,stable,0.0
21,0.0,1,-0.98,-0.41,1408,stable,0.0
22,0.0,1,-0.58,-0.8,1365,stable,0.0
23,1.0,0,-0.52,-0.85,2428,stable,0.0
24,0.0,0,-0.83,-0.15,1625,stable,0.0
25,0.0,1,-0.18,-0.16,866,stable,0.0
26,0.0,1,-0.56,-0.7,2131,stable,0.0
27,1.0,1,-0.59,-0.95,1745,stable,0.0
28,0.0,1,-0.68,-0.18,1064,stable,0.0
29,0.0,1,-0.3,-0.16,605,stable,0.0
30,0.0,0,-0.86,-0.37,914,stable,0.0
31,0.0,1,-0.47,-0.44,867,stable,0.0
32,0.0,1,-0.03,-0.91,1399,stable,0.0
33,0.0,0,-0.6,-0.1,1278,stable,0.0
34,0.0,1,-0.54,-0.84,1422,stable,0.0
35,0.0,1,-0.34,-0.95,1387,stable,0.0
36,0.0,0,-0.96,-0.28,948,stable,0.0
37,0.0,1,-0.83,-0.94,1105,stable,0.0
38,0.0,1,-0.23,-0.86,1403,stable,0.0
39,0.0,1,-0.99,-0.2,1011,stable,0.0
40,1.0,1,-0.29,-0.91,974,stable,0.0
41,1.0,0,-0.88,-0.64,1448,stable,0.0
42,0.0,1,-0.84,-0.8,1091,stable,0.0
43,0.0,0,-0.61,-0.88,950,stable,0.0
44,0.0,1,-0.23,-0.77,1140,stable,0.0
45,0.0,1,-0.87,-0.54,1370,stable,0.0
46,0.0,1,-0.25,-0.9,1680,stable,0.0
47,0.0,0,-0.71,-0.44,794,stable,0.0
48,0.0,1,-0.42,-0.52,2455,stable,0.0
49,0.0,1,-0.39,-0.94,1229,stable,0.0
50,1.0,1,-0.39,-0.24,1144,stable,0.0
51,0.0,0,-0.2,-0.1,1484,stable,0.0
52,0.0,0,-0.85,-0.43,837,stable,0.0
53,0.0,0,-0.77,-0.02,885,stable,0.0
54,1.0,1,-0.54,-0.87,1814,stable,0.0
55,1.0,1,-0.56,-0.57,1783,stable,0.0
56,1.0,1,-0.5,-0.79,846,stable,0.0
57,1.0,1,-0.04,-0.88,923,stable,0.0
58,0.0,0,-0.4,-0.38,764,stable,0.0
59,0.0,1,-0.47,-0.86,803,stable,0.0
