,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,821,volatile,0.0
1,0.0,0,-0.76,-0.69,1144,volatile,0.0
2,0.0,0,-0.73,-0.52,828,volatile,0.0
3,0.0,0,-0.41,-0.43,1489,volatile,0.0
4,1.0,1,-0.25,-0.34,622,volatile,0.0
5,0.0,0,-0.34,-0.48,678,volatile,0.0
6,1.0,0,-0.3,-0.35,776,volatile,0.0
7,0.0,0,-0.91,-0.42,1417,volatile,0.0
8,0.0,0,-0.7,-0.44,1219,volatile,0.0
9,1.0,1,-0.64,-0.5,543,volatile,0.0
10,0.0,0,-0.28,-0.19,869,volatile,0.0
11,1.0,0,-0.02,-0.59,1028,volatile,0.0
12,0.0,0,-0.2,-0.09,914,volatile,0.0
13,1.0,0,-0.32,-0.76,979,volatile,0.0
14,1.0,0,-0.09,-0.98,1170,volatile,0.0
15,0.0,1,-0.62,-0.56,1314,volatile,0.0
16,0.0,0,-0.17,-0.16,1346,volatile,0.0
17,0.0,0,-0.74,-0.07,1218,volatile,0.0
18,1.0,0,-0.02,-0.41,882,volatile,0.0
19,0.0,0,-0.7,-0.57,1258,volatile,0.0
20,1.0,1,-0.24,-0.28,1242,volatile,0.0
21,1.0,1,-0.59,-0.76,1314,volatile,0.0
22,1.0,0,-0.15,-0.19,1050,volatile,0.0
23,1.0,1,-0.5,-0.68,1337,volatile,0.0
24,1.0,0,-0.43,-0.68,1089,volatile,0.0
25,1.0,1,-0.14,-0.19,1388,volatile,0.0
26,1.0,1,-0.12,-0.11,1575,volatile,0.0
27,0.0,1,-0.4,-0.36,1018,volatile,0.0
28,0.0,1,-0.88,-0.64,1096,volatile,0.0
29,0.0,1,-0.51,-0.03,888,volatile,0.0
30,1.0,1,-0.44,-0.76,1230,volatile,0.0
31,1.0,1,-0.23,-0.92,1063,volatile,0.0
32,0.0,1,-0.23,-0.14,935,volatile,0.0
33,0.0,1,-0.94,-0.77,1034,volatile,0.0
34,0.0,0,-0.85,-0.2,2284,volatile,0.0
35,0.0,1,-0.86,-0.63,1234,volatile,0.0
36,0.0,0,-0.82,-0.56,1246,volatile,0.0
37,0.0,0,-0.68,-0.63,1370,volatile,0.0
38,1.0,0,-0.65,-0.8,1203,volatile,0.0
39,0.0,0,-0.25,-0.1,999,volatile,0.0
40,1.0,0,-0.67,-0.8,1238,volatile,0.0
41,0.0,0,-0.82,-0.57,927,volatile,0.0
42,0.0,0,-0.88,-0.47,1028,volatile,0.0
43,1.0,1,-0.55,-0.99,1002,volatile,0.0
44,0.0,1,-0.74,-0.67,1131,volatile,0.0
45,1.0,0,-0.18,-0.27,1426,volatile,0.0
46,1.0,0,-0.15,-0.67,906,volatile,0.0
47,0.0,0,-0.91,-0.32,1017,volatile,0.0
48,0.0,0,-0.66,-0.48,921,volatile,0.0
49,0.0,0,-0.67,-0.66,1453,volatile,0.0
50,1.0,1,-0.11,-0.72,1278,volatile,0.0
51,1.0,0,-0.36,-0.52,1163,volatile,0.0
52,1.0,0,-0.44,-0.76,1098,volatile,0.0
53,1.0,0,-0.04,-0.37,972,volatile,0.0
54,0.0,0,-0.86,-0.09,830,volatile,0.0
55,0.0,0,-0.99,-0.86,1474,volatile,0.0
56,1.0,0,-0.39,-0.9,1257,volatile,0.0
57,0.0,1,-0.82,-0.85,1944,volatile,0.0
58,1.0,0,-0.89,-0.99,1523,volatile,0.0
59,0.0,1,-0.88,-0.02,1082,volatile,0.0
60,1.0,0,-0.05,-0.33,1146,volatile,1.0
61,1.0,1,-0.35,-0.86,1323,volatile,1.0
62,1.0,1,-0.08,-0.13,1150,volatile,1.0
63,0.0,1,-0.78,-0.68,1197,volatile,1.0
