,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1731,volatile,0.0
1,0.0,0,-0.76,-0.69,1095,volatile,0.0
2,1.0,0,-0.73,-0.52,2194,volatile,0.0
3,1.0,0,-0.41,-0.43,818,volatile,0.0
4,1.0,1,-0.25,-0.34,897,volatile,0.0
5,0.0,0,-0.34,-0.48,2009,volatile,0.0
6,0.0,0,-0.3,-0.35,654,volatile,0.0
7,1.0,0,-0.91,-0.42,1241,volatile,0.0
8,1.0,0,-0.7,-0.44,721,volatile,0.0
9,1.0,1,-0.64,-0.5,705,volatile,0.0
10,0.0,0,-0.28,-0.19,1199,volatile,0.0
11,1.0,0,-0.02,-0.59,1352,volatile,0.0
12,1.0,0,-0.2,-0.09,625,volatile,0.0
13,1.0,0,-0.32,-0.76,650,volatile,0.0
14,1.0,0,-0.09,-0.98,696,volatile,0.0
15,1.0,1,-0.62,-0.56,984,volatile,0.0
16,0.0,0,-0.17,-0.16,984,volatile,0.0
17,1.0,0,-0.74,-0.07,569,volatile,0.0
18,1.0,0,-0.02,-0.41,793,volatile,0.0
19,1.0,0,-0.7,-0.57,1193,volatile,0.0
20,1.0,1,-0.24,-0.28,896,volatile,0.0
21,1.0,1,-0.59,-0.76,1146,volatile,0.0
22,0.0,0,-0.15,-0.19,871,volatile,0.0
23,1.0,1,-0.5,-0.68,721,volatile,0.0
24,1.0,0,-0.43,-0.68,665,volatile,0.0
25,1.0,1,-0.14,-0.19,601,volatile,0.0
26,1.0,1,-0.12,-0.11,561,volatile,0.0
27,1.0,1,-0.4,-0.36,641,volatile,0.0
28,0.0,1,-0.88,-0.64,672,volatile,0.0
29,0.0,1,-0.51,-0.03,547,volatile,0.0
30,0.0,1,-0.44,-0.76,649,volatile,0.0
31,0.0,1,-0.23,-0.92,601,volatile,0.0
32,0.0,1,-0.23,-0.14,611,volatile,0.0
33,0.0,1,-0.94,-0.77,681,volatile,0.0
34,0.0,0,-0.85,-0.2,690,volatile,0.0
35,0.0,1,-0.86,-0.63,642,volatile,0.0
36,0.0,0,-0.82,-0.56,626,volatile,0.0
37,0.0,0,-0.68,-0.63,761,volatile,0.0
38,0.0,0,-0.65,-0.8,650,volatile,0.0
39,1.0,0,-0.25,-0.1,1234,volatile,0.0
40,1.0,0,-0.67,-0.8,712,volatile,0.0
41,1.0,0,-0.82,-0.57,594,volatile,0.0
42,1.0,0,-0.88,-0.47,682,volatile,0.0
43,1.0,1,-0.55,-0.99,585,volatile,0.0
44,0.0,1,-0.74,-0.67,767,volatile,0.0
45,1.0,0,-0.18,-0.27,1817,volatile,0.0
46,1.0,0,-0.15,-0.67,625,volatile,0.0
47,1.0,0,-0.91,-0.32,712,volatile,0.0
48,1.0,0,-0.66,-0.48,1019,volatile,0.0
49,1.0,0,-0.67,-0.66,881,volatile,0.0
50,1.0,1,-0.11,-0.72,681,volatile,0.0
51,0.0,0,-0.36,-0.52,680,volatile,0.0
52,1.0,0,-0.44,-0.76,627,volatile,0.0
53,1.0,0,-0.04,-0.37,856,volatile,0.0
54,1.0,0,-0.86,-0.09,666,volatile,0.0
55,1.0,0,-0.99,-0.86,594,volatile,0.0
56,1.0,0,-0.39,-0.9,666,volatile,0.0
57,1.0,1,-0.82,-0.85,746,volatile,0.0
58,0.0,0,-0.89,-0.99,801,volatile,0.0
59,0.0,1,-0.88,-0.02,1018,volatile,0.0
60,0.0,0,-0.05,-0.33,945,volatile,1.0
61,1.0,1,-0.35,-0.86,731,volatile,1.0
62,1.0,1,-0.08,-0.13,512,volatile,1.0
63,1.0,1,-0.78,-0.68,1089,volatile,1.0
64,1.0,1,-0.05,-0.15,657,volatile,1.0
65,0.0,1,-0.62,-0.42,834,volatile,1.0
66,0.0,0,-0.95,-0.51,745,volatile,1.0
67,1.0,0,-0.59,-0.95,913,volatile,1.0
68,1.0,0,-0.14,-0.98,594,volatile,1.0
69,1.0,1,-0.05,-0.84,834,volatile,1.0
70,0.0,1,-0.38,-0.5,769,volatile,1.0
71,0.0,1,-0.45,-0.59,537,volatile,1.0
72,0.0,1,-0.32,-0.72,666,volatile,1.0
73,0.0,1,-0.02,-0.91,539,volatile,1.0
74,0.0,1,-0.72,-0.99,3666,volatile,1.0
75,0.0,1,-0.61,-0.43,713,volatile,1.0
76,0.0,1,-0.24,-0.79,545,volatile,1.0
77,0.0,1,-0.48,-0.15,649,volatile,1.0
78,0.0,1,-0.5,-0.61,586,volatile,1.0
79,0.0,1,-0.83,-0.34,633,volatile,1.0
80,0.0,0,-0.84,-0.92,801,volatile,1.0
81,0.0,0,-0.71,-0.05,1342,volatile,1.0
82,1.0,0,-0.5,-0.72,803,volatile,1.0
83,1.0,1,-0.26,-0.29,611,volatile,1.0
84,0.0,1,-0.37,-0.63,633,volatile,1.0
85,0.0,0,-0.47,-0.12,585,volatile,1.0
86,1.0,0,-0.36,-0.81,1689,volatile,1.0
87,0.0,0,-0.87,-0.59,1169,volatile,1.0
88,1.0,0,-0.26,-0.75,898,volatile,1.0
89,1.0,0,-0.17,-0.19,843,volatile,1.0
90,1.0,1,-0.44,-0.37,2113,stable,1.0
91,1.0,1,-0.66,-0.12,602,stable,1.0
92,0.0,1,-0.98,-0.02,1132,stable,1.0
93,0.0,0,-0.57,-0.95,629,stable,1.0
94,0.0,1,-0.28,-0.08,768,stable,1.0
95,0.0,1,-0.3,-0.33,690,stable,1.0
96,0.0,1,-0.27,-0.24,822,stable,1.0
97,0.0,0,-0.58,-0.43,754,stable,1.0
98,0.0,1,-0.72,-0.47,922,stable,1.0
99,0.0,0,-0.45,-0.44,665,stable,1.0
100,0.0,1,-0.69,-0.26,892,stable,1.0
101,0.0,1,-0.06,-0.41,553,stable,1.0
102,0.0,0,-0.88,-0.34,649,stable,1.0
103,0.0,0,-0.73,-0.2,664,stable,1.0
104,1.0,1,-0.6,-0.25,635,stable,1.0
105,0.0,0,-0.98,-0.06,601,stable,1.0
106,0.0,0,-0.48,-0.39,594,stable,1.0
107,1.0,1,-0.35,-0.95,898,stable,1.0
108,0.0,1,-0.67,-0.85,802,stable,1.0
109,0.0,1,-0.54,-0.22,657,stable,1.0
