,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,1,-0.41,-0.2,1080,volatile,0.0
1,0.0,0,-0.76,-0.69,1021,volatile,0.0
2,1.0,0,-0.73,-0.52,934,volatile,0.0
3,0.0,0,-0.41,-0.43,1266,volatile,0.0
4,1.0,1,-0.25,-0.34,1203,volatile,0.0
5,1.0,0,-0.34,-0.48,696,volatile,0.0
6,0.0,0,-0.3,-0.35,1329,volatile,0.0
7,1.0,0,-0.91,-0.42,890,volatile,0.0
8,0.0,0,-0.7,-0.44,1230,volatile,0.0
9,1.0,1,-0.64,-0.5,619,volatile,0.0
10,1.0,0,-0.28,-0.19,617,volatile,0.0
11,1.0,0,-0.02,-0.59,1086,volatile,0.0
12,1.0,0,-0.2,-0.09,1353,volatile,0.0
13,1.0,0,-0.32,-0.76,746,volatile,0.0
14,1.0,0,-0.09,-0.98,758,volatile,0.0
15,1.0,1,-0.62,-0.56,751,volatile,0.0
16,1.0,0,-0.17,-0.16,815,volatile,0.0
17,1.0,0,-0.74,-0.07,805,volatile,0.0
18,1.0,0,-0.02,-0.41,709,volatile,0.0
19,0.0,0,-0.7,-0.57,786,volatile,0.0
20,1.0,1,-0.24,-0.28,740,volatile,0.0
21,1.0,1,-0.59,-0.76,633,volatile,0.0
22,0.0,0,-0.15,-0.19,740,volatile,0.0
23,1.0,1,-0.5,-0.68,942,volatile,0.0
24,0.0,0,-0.43,-0.68,892,volatile,0.0
25,1.0,1,-0.14,-0.19,988,volatile,0.0
26,1.0,1,-0.12,-0.11,1021,volatile,0.0
27,1.0,1,-0.4,-0.36,1166,volatile,0.0
28,0.0,1,-0.88,-0.64,861,volatile,0.0
29,0.0,1,-0.51,-0.03,893,volatile,0.0
30,0.0,1,-0.44,-0.76,877,volatile,0.0
31,0.0,1,-0.23,-0.92,957,volatile,0.0
32,0.0,1,-0.23,-0.14,941,volatile,0.0
33,0.0,1,-0.94,-0.77,799,volatile,0.0
34,0.0,0,-0.85,-0.2,963,volatile,0.0
35,1.0,1,-0.86,-0.63,995,volatile,0.0
36,0.0,0,-0.82,-0.56,1105,volatile,0.0
37,1.0,0,-0.68,-0.63,1453,volatile,0.0
38,0.0,0,-0.65,-0.8,2977,volatile,0.0
39,0.0,0,-0.25,-0.1,1432,volatile,0.0
40,1.0,0,-0.67,-0.8,710,volatile,0.0
41,1.0,0,-0.82,-0.57,1274,volatile,0.0
42,1.0,0,-0.88,-0.47,673,volatile,0.0
43,1.0,1,-0.55,-0.99,815,volatile,0.0
44,1.0,1,-0.74,-0.67,845,volatile,0.0
45,0.0,0,-0.18,-0.27,1487,volatile,0.0
46,1.0,0,-0.15,-0.67,1022,volatile,0.0
47,1.0,0,-0.91,-0.32,928,volatile,0.0
48,0.0,0,-0.66,-0.48,3096,volatile,0.0
49,1.0,0,-0.67,-0.66,1012,volatile,0.0
50,1.0,1,-0.11,-0.72,622,volatile,0.0
51,1.0,0,-0.36,-0.52,807,volatile,0.0
52,1.0,0,-0.44,-0.76,912,volatile,0.0
53,1.0,0,-0.04,-0.37,1025,volatile,0.0
54,1.0,0,-0.86,-0.09,788,volatile,0.0
55,1.0,0,-0.99,-0.86,659,volatile,0.0
56,1.0,0,-0.39,-0.9,961,volatile,0.0
57,1.0,1,-0.82,-0.85,770,volatile,0.0
58,1.0,0,-0.89,-0.99,1383,volatile,0.0
59,0.0,1,-0.88,-0.02,808,volatile,0.0
60,1.0,0,-0.05,-0.33,709,volatile,1.0
61,1.0,1,-0.35,-0.86,1124,volatile,1.0
62,1.0,1,-0.08,-0.13,780,volatile,1.0
63,0.0,1,-0.78,-0.68,740,volatile,1.0
64,1.0,1,-0.05,-0.15,2494,volatile,1.0
65,0.0,1,-0.62,-0.42,1217,volatile,1.0
66,0.0,0,-0.95,-0.51,836,volatile,1.0
67,1.0,0,-0.59,-0.95,3055,volatile,1.0
68,1.0,0,-0.14,-0.98,1631,volatile,1.0
69,1.0,1,-0.05,-0.84,1365,volatile,1.0
70,0.0,1,-0.38,-0.5,829,volatile,1.0
71,0.0,1,-0.45,-0.59,615,volatile,1.0
72,0.0,1,-0.32,-0.72,883,volatile,1.0
73,0.0,1,-0.02,-0.91,665,volatile,1.0
74,0.0,1,-0.72,-0.99,709,volatile,1.0
75,0.0,1,-0.61,-0.43,971,volatile,1.0
76,0.0,1,-0.24,-0.79,1113,volatile,1.0
77,0.0,1,-0.48,-0.15,720,volatile,1.0
78,0.0,1,-0.5,-0.61,974,volatile,1.0
79,0.0,1,-0.83,-0.34,1141,volatile,1.0
80,0.0,0,-0.84,-0.92,752,volatile,1.0
81,1.0,0,-0.71,-0.05,912,volatile,1.0
82,1.0,0,-0.5,-0.72,668,volatile,1.0
83,1.0,1,-0.26,-0.29,888,volatile,1.0
84,0.0,1,-0.37,-0.63,656,volatile,1.0
85,0.0,0,-0.47,-0.12,660,volatile,1.0
86,1.0,0,-0.36,-0.81,838,volatile,1.0
87,1.0,0,-0.87,-0.59,1086,volatile,1.0
88,1.0,0,-0.26,-0.75,1136,volatile,1.0
89,1.0,0,-0.17,-0.19,878,volatile,1.0
90,1.0,1,-0.44,-0.37,1071,stable,1.0
91,0.0,1,-0.66,-0.12,791,stable,1.0
92,1.0,1,-0.98,-0.02,1071,stable,1.0
93,0.0,0,-0.57,-0.95,915,stable,1.0
94,0.0,1,-0.28,-0.08,3078,stable,1.0
95,0.0,1,-0.3,-0.33,739,stable,1.0
96,0.0,1,-0.27,-0.24,817,stable,1.0
97,0.0,0,-0.58,-0.43,780,stable,1.0
98,0.0,1,-0.72,-0.47,685,stable,1.0
99,0.0,0,-0.45,-0.44,634,stable,1.0
100,1.0,1,-0.69,-0.26,924,stable,1.0
101,0.0,1,-0.06,-0.41,4523,stable,1.0
102,0.0,0,-0.88,-0.34,700,stable,1.0
103,0.0,0,-0.73,-0.2,637,stable,1.0
104,1.0,1,-0.6,-0.25,618,stable,1.0
105,1.0,0,-0.98,-0.06,723,stable,1.0
106,1.0,0,-0.48,-0.39,968,stable,1.0
107,1.0,1,-0.35,-0.95,918,stable,1.0
108,1.0,1,-0.67,-0.85,894,stable,1.0
109,1.0,1,-0.54,-0.22,994,stable,1.0
110,0.0,0,-0.23,-0.9,841,stable,1.0
111,0.0,1,-0.98,-0.41,605,stable,1.0
112,0.0,1,-0.58,-0.8,1041,stable,1.0
