,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1390,stable,0.0
1,0.0,1,-0.66,-0.12,776,stable,0.0
2,0.0,1,-0.98,-0.02,632,stable,0.0
3,0.0,0,-0.57,-0.95,1345,stable,0.0
4,0.0,1,-0.28,-0.08,729,stable,0.0
5,0.0,1,-0.3,-0.33,905,stable,0.0
6,0.0,1,-0.27,-0.24,2109,stable,0.0
7,0.0,0,-0.58,-0.43,1077,stable,0.0
8,0.0,1,-0.72,-0.47,1098,stable,0.0
9,0.0,0,-0.45,-0.44,973,stable,0.0
10,0.0,1,-0.69,-0.26,873,stable,0.0
11,0.0,1,-0.06,-0.41,641,stable,0.0
12,0.0,0,-0.88,-0.34,540,stable,0.0
13,0.0,0,-0.73,-0.2,1038,stable,0.0
14,0.0,1,-0.6,-0.25,987,stable,0.0
15,0.0,0,-0.98,-0.06,915,stable,0.0
16,0.0,0,-0.48,-0.39,1265,stable,0.0
17,1.0,1,-0.35,-0.95,733,stable,0.0
18,1.0,1,-0.67,-0.85,737,stable,0.0
19,0.0,1,-0.54,-0.22,552,stable,0.0
20,0.0,0,-0.23,-0.9,587,stable,0.0
21,0.0,1,-0.98,-0.41,742,stable,0.0
22,0.0,1,-0.58,-0.8,637,stable,0.0
23,0.0,0,-0.52,-0.85,687,stable,0.0
24,0.0,0,-0.83,-0.15,862,stable,0.0
25,0.0,1,-0.18,-0.16,760,stable,0.0
26,0.0,1,-0.56,-0.7,885,stable,0.0
27,0.0,1,-0.59,-0.95,969,stable,0.0
28,0.0,1,-0.68,-0.18,627,stable,0.0
29,0.0,1,-0.3,-0.16,717,stable,0.0
30,0.0,0,-0.86,-0.37,597,stable,0.0
31,0.0,1,-0.47,-0.44,581,stable,0.0
32,1.0,1,-0.03,-0.91,1325,stable,0.0
33,0.0,0,-0.6,-0.1,867,stable,0.0
34,0.0,1,-0.54,-0.84,680,stable,0.0
35,0.0,1,-0.34,-0.95,799,stable,0.0
36,0.0,0,-0.96,-0.28,858,stable,0.0
37,0.0,1,-0.83,-0.94,750,stable,0.0
38,0.0,1,-0.23,-0.86,740,stable,0.0
39,1.0,1,-0.99,-0.2,1117,stable,0.0
40,0.0,1,-0.29,-0.91,1061,stable,0.0
41,0.0,0,-0.88,-0.64,1176,stable,0.0
42,0.0,1,-0.84,-0.8,1453,stable,0.0
43,0.0,0,-0.61,-0.88,1025,stable,0.0
44,1.0,1,-0.23,-0.77,997,stable,0.0
45,0.0,1,-0.87,-0.54,1152,stable,0.0
46,0.0,1,-0.25,-0.9,578,stable,0.0
47,0.0,0,-0.71,-0.44,630,stable,0.0
48,0.0,1,-0.42,-0.52,638,stable,0.0
49,0.0,1,-0.39,-0.94,839,stable,0.0
50,0.0,1,-0.39,-0.24,604,stable,0.0
51,0.0,0,-0.2,-0.1,562,stable,0.0
52,0.0,0,-0.85,-0.43,651,stable,0.0
53,0.0,0,-0.77,-0.02,650,stable,0.0
54,0.0,1,-0.54,-0.87,652,stable,0.0
55,0.0,1,-0.56,-0.57,579,stable,0.0
56,0.0,1,-0.5,-0.79,751,stable,0.0
57,0.0,1,-0.04,-0.88,687,stable,0.0
58,0.0,0,-0.4,-0.38,810,stable,0.0
59,0.0,1,-0.47,-0.86,1045,stable,0.0
60,0.0,1,-0.15,-0.49,1092,stable,1.0
61,0.0,1,-0.17,-0.39,850,stable,1.0
62,0.0,0,-0.76,-0.97,1454,stable,1.0
63,1.0,1,-0.73,-0.14,1220,stable,1.0
64,0.0,1,-0.67,-0.29,791,stable,1.0
65,0.0,1,-0.48,-0.39,589,stable,1.0
66,0.0,1,-0.3,-0.87,1104,stable,1.0
67,0.0,0,-0.13,-0.37,723,stable,1.0
68,0.0,1,-0.66,-0.59,982,stable,1.0
69,0.0,1,-0.2,-0.77,1164,stable,1.0
70,0.0,1,-0.39,-0.28,1103,stable,1.0
71,0.0,1,-0.61,-0.55,630,stable,1.0
72,0.0,1,-0.62,-0.02,534,stable,1.0
73,0.0,0,-0.5,-0.8,580,stable,1.0
74,0.0,0,-0.6,-0.07,539,stable,1.0
75,0.0,0,-0.76,-0.52,703,stable,1.0
76,1.0,1,-0.49,-0.14,537,stable,1.0
77,0.0,1,-0.46,-0.36,696,stable,1.0
78,0.0,1,-0.84,-0.29,539,stable,1.0
79,0.0,1,-0.44,-0.47,1153,stable,1.0
80,0.0,1,-0.73,-0.44,876,stable,1.0
81,0.0,1,-0.3,-0.95,597,stable,1.0
82,0.0,0,-0.8,-0.39,609,stable,1.0
83,0.0,1,-0.67,-0.61,573,stable,1.0
84,0.0,1,-0.95,-0.61,544,stable,1.0
85,0.0,1,-0.65,-0.19,564,stable,1.0
86,0.0,1,-0.72,-0.33,592,stable,1.0
87,0.0,0,-0.87,-0.17,601,stable,1.0
88,0.0,1,-0.65,-0.53,619,stable,1.0
89,0.0,1,-0.38,-0.76,692,stable,1.0
90,0.0,1,-0.41,-0.2,1206,volatile,1.0
91,0.0,0,-0.76,-0.69,565,volatile,1.0
92,0.0,0,-0.73,-0.52,1683,volatile,1.0
93,1.0,0,-0.41,-0.43,685,volatile,1.0
94,0.0,1,-0.25,-0.34,555,volatile,1.0
95,0.0,0,-0.34,-0.48,835,volatile,1.0
96,0.0,0,-0.3,-0.35,527,volatile,1.0
97,1.0,0,-0.91,-0.42,579,volatile,1.0
98,0.0,0,-0.7,-0.44,572,volatile,1.0
99,0.0,1,-0.64,-0.5,530,volatile,1.0
100,0.0,0,-0.28,-0.19,620,volatile,1.0
101,1.0,0,-0.02,-0.59,583,volatile,1.0
102,1.0,0,-0.2,-0.09,564,volatile,1.0
103,1.0,0,-0.32,-0.76,553,volatile,1.0
104,1.0,0,-0.09,-0.98,596,volatile,1.0
105,1.0,1,-0.62,-0.56,847,volatile,1.0
106,1.0,0,-0.17,-0.16,722,volatile,1.0
107,1.0,0,-0.74,-0.07,669,volatile,1.0
108,1.0,0,-0.02,-0.41,1369,volatile,1.0
109,0.0,0,-0.7,-0.57,1082,volatile,1.0
110,1.0,1,-0.24,-0.28,569,volatile,1.0
111,1.0,1,-0.59,-0.76,1404,volatile,1.0
112,0.0,0,-0.15,-0.19,498,volatile,1.0
113,0.0,1,-0.5,-0.68,1565,volatile,1.0
114,0.0,0,-0.43,-0.68,602,volatile,1.0
115,0.0,1,-0.14,-0.19,505,volatile,1.0
116,1.0,1,-0.12,-0.11,570,volatile,1.0
117,1.0,1,-0.4,-0.36,655,volatile,1.0
118,0.0,1,-0.88,-0.64,620,volatile,1.0
119,0.0,1,-0.51,-0.03,558,volatile,1.0
120,0.0,1,-0.44,-0.76,1396,volatile,2.0
121,0.0,1,-0.23,-0.92,1205,volatile,2.0
122,0.0,1,-0.23,-0.14,557,volatile,2.0
123,0.0,1,-0.94,-0.77,610,volatile,2.0
124,0.0,0,-0.85,-0.2,514,volatile,2.0
125,0.0,1,-0.86,-0.63,1090,volatile,2.0
126,0.0,0,-0.82,-0.56,539,volatile,2.0
127,0.0,0,-0.68,-0.63,768,volatile,2.0
128,0.0,0,-0.65,-0.8,527,volatile,2.0
129,0.0,0,-0.25,-0.1,854,volatile,2.0
130,1.0,0,-0.67,-0.8,597,volatile,2.0
131,1.0,0,-0.82,-0.57,721,volatile,2.0
132,1.0,0,-0.88,-0.47,560,volatile,2.0
133,1.0,1,-0.55,-0.99,536,volatile,2.0
134,1.0,1,-0.74,-0.67,572,volatile,2.0
135,0.0,0,-0.18,-0.27,723,volatile,2.0
136,1.0,0,-0.15,-0.67,693,volatile,2.0
137,1.0,0,-0.91,-0.32,518,volatile,2.0
138,1.0,0,-0.66,-0.48,573,volatile,2.0
139,1.0,0,-0.67,-0.66,581,volatile,2.0
140,1.0,1,-0.11,-0.72,972,volatile,2.0
141,1.0,0,-0.36,-0.52,851,volatile,2.0
142,1.0,0,-0.44,-0.76,633,volatile,2.0
143,1.0,0,-0.04,-0.37,567,volatile,2.0
144,1.0,0,-0.86,-0.09,697,volatile,2.0
145,1.0,0,-0.99,-0.86,748,volatile,2.0
146,1.0,0,-0.39,-0.9,631,volatile,2.0
147,1.0,1,-0.82,-0.85,537,volatile,2.0
148,1.0,0,-0.89,-0.99,562,volatile,2.0
149,1.0,1,-0.88,-0.02,504,volatile,2.0
150,1.0,0,-0.05,-0.33,570,volatile,2.0
151,1.0,1,-0.35,-0.86,636,volatile,2.0
152,1.0,1,-0.08,-0.13,494,volatile,2.0
153,1.0,1,-0.78,-0.68,592,volatile,2.0
154,1.0,1,-0.05,-0.15,572,volatile,2.0
155,1.0,1,-0.62,-0.42,604,volatile,2.0
156,1.0,0,-0.95,-0.51,488,volatile,2.0
157,1.0,0,-0.59,-0.95,726,volatile,2.0
158,1.0,0,-0.14,-0.98,525,volatile,2.0
159,1.0,1,-0.05,-0.84,684,volatile,2.0
160,1.0,1,-0.38,-0.5,588,volatile,2.0
161,0.0,1,-0.45,-0.59,544,volatile,2.0
162,0.0,1,-0.32,-0.72,705,volatile,2.0
163,0.0,1,-0.02,-0.91,643,volatile,2.0
164,0.0,1,-0.72,-0.99,880,volatile,2.0
165,0.0,1,-0.61,-0.43,606,volatile,2.0
166,0.0,1,-0.24,-0.79,805,volatile,2.0
167,0.0,1,-0.48,-0.15,668,volatile,2.0
168,0.0,1,-0.5,-0.61,496,volatile,2.0
169,0.0,1,-0.83,-0.34,771,volatile,2.0
170,0.0,0,-0.84,-0.92,637,volatile,2.0
171,0.0,0,-0.71,-0.05,625,volatile,2.0
172,1.0,0,-0.5,-0.72,495,volatile,2.0
173,1.0,1,-0.26,-0.29,520,volatile,2.0
174,0.0,1,-0.37,-0.63,610,volatile,2.0
175,0.0,0,-0.47,-0.12,634,volatile,2.0
176,0.0,0,-0.36,-0.81,573,volatile,2.0
177,0.0,0,-0.87,-0.59,1125,volatile,2.0
178,0.0,0,-0.26,-0.75,787,volatile,2.0
179,1.0,0,-0.17,-0.19,671,volatile,2.0
