,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,1.0,0,-0.1,-0.23,1295,volatile,0.0
1,1.0,0,-0.97,-0.45,822,volatile,0.0
2,0.0,0,-0.62,-0.54,664,volatile,0.0
3,0.0,1,-0.16,-0.99,798,volatile,0.0
4,0.0,0,-0.4,-0.72,643,volatile,0.0
5,1.0,0,-0.88,-0.98,969,volatile,0.0
6,0.0,0,-0.54,-0.06,533,volatile,0.0
7,1.0,0,-0.55,-0.64,903,volatile,0.0
8,1.0,0,-0.45,-0.96,1549,volatile,0.0
9,0.0,0,-0.19,-0.28,828,volatile,0.0
10,1.0,0,-0.26,-0.95,1066,volatile,0.0
11,1.0,0,-0.29,-0.9,959,volatile,0.0
12,0.0,0,-0.53,-0.2,1179,volatile,0.0
13,1.0,0,-0.56,-0.74,1045,volatile,0.0
14,0.0,0,-0.42,-0.18,999,volatile,0.0
15,0.0,0,-0.91,-0.11,5942,volatile,0.0
16,1.0,1,-0.31,-0.32,2716,volatile,0.0
17,0.0,1,-0.81,-0.67,1142,volatile,0.0
18,0.0,1,-0.36,-0.32,996,volatile,0.0
19,0.0,0,-0.81,-0.72,1218,volatile,0.0
20,1.0,1,-0.54,-0.95,784,volatile,0.0
21,0.0,1,-0.59,-0.4,1448,volatile,0.0
22,0.0,1,-0.24,-0.29,1145,volatile,0.0
23,1.0,1,-0.51,-0.6,1008,volatile,0.0
24,1.0,1,-0.65,-0.83,1226,volatile,0.0
25,0.0,0,-0.98,-0.78,948,volatile,0.0
26,0.0,1,-0.51,-0.56,730,volatile,0.0
27,1.0,1,-0.2,-0.05,796,volatile,0.0
28,1.0,1,-0.02,-0.67,1147,volatile,0.0
29,1.0,1,-0.84,-0.85,1444,volatile,0.0
30,0.0,0,-0.49,-0.07,823,volatile,0.0
31,0.0,1,-0.47,-0.37,836,volatile,0.0
32,0.0,1,-0.91,-0.27,856,volatile,0.0
33,1.0,1,-0.42,-0.44,756,volatile,0.0
34,1.0,0,-0.55,-0.31,867,volatile,0.0
35,0.0,1,-0.7,-0.97,649,volatile,0.0
36,0.0,0,-0.79,-0.89,1813,volatile,0.0
37,0.0,0,-0.86,-0.83,1330,volatile,0.0
38,0.0,0,-0.62,-0.4,789,volatile,0.0
39,0.0,0,-0.23,-0.36,784,volatile,0.0
40,1.0,0,-0.61,-0.65,821,volatile,0.0
41,0.0,0,-0.67,-0.74,808,volatile,0.0
42,0.0,0,-0.41,-0.73,699,volatile,0.0
43,0.0,1,-0.54,-0.96,1348,volatile,0.0
44,0.0,0,-0.88,-0.86,1482,volatile,0.0
45,0.0,0,-0.66,-0.43,1350,volatile,0.0
46,,0,-0.79,-0.72,6999,volatile,0.0
47,,1,-0.13,-0.71,7004,volatile,0.0
48,,0,-0.53,-0.78,6999,volatile,0.0
