,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.44,-0.37,1227,stable,0.0
1,0.0,1,-0.66,-0.12,689,stable,0.0
2,0.0,1,-0.98,-0.02,1718,stable,0.0
3,0.0,0,-0.57,-0.95,786,stable,0.0
4,0.0,1,-0.28,-0.08,938,stable,0.0
5,0.0,1,-0.3,-0.33,924,stable,0.0
6,0.0,1,-0.27,-0.24,708,stable,0.0
7,0.0,0,-0.58,-0.43,575,stable,0.0
8,0.0,1,-0.72,-0.47,1132,stable,0.0
9,0.0,0,-0.45,-0.44,1202,stable,0.0
10,0.0,1,-0.69,-0.26,1219,stable,0.0
11,0.0,1,-0.06,-0.41,1678,stable,0.0
12,0.0,0,-0.88,-0.34,942,stable,0.0
13,0.0,0,-0.73,-0.2,1681,stable,0.0
14,0.0,1,-0.6,-0.25,850,stable,0.0
15,0.0,0,-0.98,-0.06,755,stable,0.0
16,0.0,0,-0.48,-0.39,747,stable,0.0
17,1.0,1,-0.35,-0.95,1028,stable,0.0
18,1.0,1,-0.67,-0.85,1136,stable,0.0
19,0.0,1,-0.54,-0.22,911,stable,0.0
20,1.0,0,-0.23,-0.9,1881,stable,0.0
21,0.0,1,-0.98,-0.41,1063,stable,0.0
22,0.0,1,-0.58,-0.8,1610,stable,0.0
23,0.0,0,-0.52,-0.85,2001,stable,0.0
24,0.0,0,-0.83,-0.15,806,stable,0.0
25,0.0,1,-0.18,-0.16,1201,stable,0.0
26,0.0,1,-0.56,-0.7,1099,stable,0.0
27,0.0,1,-0.59,-0.95,1699,stable,0.0
28,0.0,1,-0.68,-0.18,851,stable,0.0
29,0.0,1,-0.3,-0.16,1300,stable,0.0
30,0.0,0,-0.86,-0.37,962,stable,0.0
31,0.0,1,-0.47,-0.44,982,stable,0.0
32,1.0,1,-0.03,-0.91,1591,stable,0.0
33,0.0,0,-0.6,-0.1,891,stable,0.0
34,0.0,1,-0.54,-0.84,1383,stable,0.0
35,0.0,1,-0.34,-0.95,2145,stable,0.0
36,0.0,0,-0.96,-0.28,1147,stable,0.0
37,0.0,1,-0.83,-0.94,1623,stable,0.0
38,0.0,1,-0.23,-0.86,1429,stable,0.0
39,0.0,1,-0.99,-0.2,962,stable,0.0
