,choice,green_outcome,green_mag,blue_mag,rt,block,run
0,0.0,1,-0.41,-0.2,1357,volatile,0.0
1,1.0,0,-0.76,-0.69,676,volatile,0.0
2,0.0,0,-0.73,-0.52,936,volatile,0.0
3,1.0,0,-0.41,-0.43,1026,volatile,0.0
4,1.0,1,-0.25,-0.34,1075,volatile,0.0
5,1.0,0,-0.34,-0.48,994,volatile,0.0
6,1.0,0,-0.3,-0.35,976,volatile,0.0
7,0.0,0,-0.91,-0.42,1135,volatile,0.0
8,0.0,0,-0.7,-0.44,785,volatile,0.0
9,1.0,1,-0.64,-0.5,828,volatile,0.0
10,1.0,0,-0.28,-0.19,801,volatile,0.0
11,1.0,0,-0.02,-0.59,763,volatile,0.0
12,0.0,0,-0.2,-0.09,943,volatile,0.0
13,1.0,0,-0.32,-0.76,907,volatile,0.0
14,1.0,0,-0.09,-0.98,850,volatile,0.0
15,0.0,1,-0.62,-0.56,1340,volatile,0.0
16,0.0,0,-0.17,-0.16,1591,volatile,0.0
17,0.0,0,-0.74,-0.07,813,volatile,0.0
18,1.0,0,-0.02,-0.41,735,volatile,0.0
19,1.0,0,-0.7,-0.57,890,volatile,0.0
20,1.0,1,-0.24,-0.28,860,volatile,0.0
21,1.0,1,-0.59,-0.76,1089,volatile,0.0
22,0.0,0,-0.15,-0.19,942,volatile,0.0
23,1.0,1,-0.5,-0.68,1112,volatile,0.0
24,1.0,0,-0.43,-0.68,1203,volatile,0.0
25,1.0,1,-0.14,-0.19,672,volatile,0.0
26,0.0,1,-0.12,-0.11,1387,volatile,0.0
27,0.0,1,-0.4,-0.36,1078,volatile,0.0
28,1.0,1,-0.88,-0.64,1045,volatile,0.0
29,0.0,1,-0.51,-0.03,853,volatile,0.0
30,1.0,1,-0.44,-0.76,1051,volatile,0.0
31,1.0,1,-0.23,-0.92,1027,volatile,0.0
32,0.0,1,-0.23,-0.14,859,volatile,0.0
33,0.0,1,-0.94,-0.77,1011,volatile,0.0
34,0.0,0,-0.85,-0.2,908,volatile,0.0
35,0.0,1,-0.86,-0.63,1338,volatile,0.0
36,1.0,0,-0.82,-0.56,1113,volatile,0.0
37,0.0,0,-0.68,-0.63,1078,volatile,0.0
38,0.0,0,-0.65,-0.8,813,volatile,0.0
39,0.0,0,-0.25,-0.1,746,volatile,0.0
40,1.0,0,-0.67,-0.8,1174,volatile,0.0
41,0.0,0,-0.82,-0.57,1089,volatile,0.0
42,0.0,0,-0.88,-0.47,881,volatile,0.0
43,0.0,1,-0.55,-0.99,1040,volatile,0.0
44,1.0,1,-0.74,-0.67,907,volatile,0.0
45,1.0,0,-0.18,-0.27,917,volatile,0.0
46,0.0,0,-0.15,-0.67,710,volatile,0.0
47,0.0,0,-0.91,-0.32,624,volatile,0.0
48,1.0,0,-0.66,-0.48,830,volatile,0.0
49,1.0,0,-0.67,-0.66,810,volatile,0.0
50,1.0,1,-0.11,-0.72,943,volatile,0.0
51,1.0,0,-0.36,-0.52,779,volatile,0.0
52,1.0,0,-0.44,-0.76,785,volatile,0.0
53,1.0,0,-0.04,-0.37,772,volatile,0.0
54,0.0,0,-0.86,-0.09,746,volatile,0.0
55,1.0,0,-0.99,-0.86,721,volatile,0.0
56,0.0,0,-0.39,-0.9,767,volatile,0.0
57,1.0,1,-0.82,-0.85,632,volatile,0.0
58,1.0,0,-0.89,-0.99,836,volatile,0.0
59,0.0,1,-0.88,-0.02,661,volatile,0.0
60,1.0,0,-0.05,-0.33,678,volatile,1.0
61,1.0,1,-0.35,-0.86,722,volatile,1.0
62,1.0,1,-0.08,-0.13,580,volatile,1.0
63,1.0,1,-0.78,-0.68,673,volatile,1.0
64,1.0,1,-0.05,-0.15,730,volatile,1.0
65,1.0,1,-0.62,-0.42,842,volatile,1.0
66,1.0,0,-0.95,-0.51,717,volatile,1.0
67,0.0,0,-0.59,-0.95,595,volatile,1.0
68,1.0,0,-0.14,-0.98,887,volatile,1.0
69,1.0,1,-0.05,-0.84,702,volatile,1.0
70,0.0,1,-0.38,-0.5,454,volatile,1.0
71,1.0,1,-0.45,-0.59,616,volatile,1.0
72,0.0,1,-0.32,-0.72,429,volatile,1.0
73,0.0,1,-0.02,-0.91,410,volatile,1.0
74,0.0,1,-0.72,-0.99,704,volatile,1.0
75,0.0,1,-0.61,-0.43,541,volatile,1.0
76,1.0,1,-0.24,-0.79,878,volatile,1.0
77,0.0,1,-0.48,-0.15,524,volatile,1.0
78,0.0,1,-0.5,-0.61,518,volatile,1.0
79,0.0,1,-0.83,-0.34,519,volatile,1.0
80,0.0,0,-0.84,-0.92,526,volatile,1.0
81,1.0,0,-0.71,-0.05,480,volatile,1.0
82,1.0,0,-0.5,-0.72,640,volatile,1.0
83,1.0,1,-0.26,-0.29,601,volatile,1.0
84,1.0,1,-0.37,-0.63,610,volatile,1.0
85,0.0,0,-0.47,-0.12,494,volatile,1.0
86,1.0,0,-0.36,-0.81,719,volatile,1.0
87,1.0,0,-0.87,-0.59,759,volatile,1.0
88,1.0,0,-0.26,-0.75,516,volatile,1.0
89,1.0,0,-0.17,-0.19,566,volatile,1.0
90,1.0,1,-0.44,-0.37,2976,stable,1.0
91,0.0,1,-0.66,-0.12,571,stable,1.0
92,0.0,1,-0.98,-0.02,575,stable,1.0
93,0.0,0,-0.57,-0.95,611,stable,1.0
94,0.0,1,-0.28,-0.08,705,stable,1.0
95,0.0,1,-0.3,-0.33,794,stable,1.0
96,0.0,1,-0.27,-0.24,707,stable,1.0
97,0.0,0,-0.58,-0.43,1365,stable,1.0
98,1.0,1,-0.72,-0.47,453,stable,1.0
99,0.0,0,-0.45,-0.44,823,stable,1.0
100,1.0,1,-0.69,-0.26,614,stable,1.0
101,0.0,1,-0.06,-0.41,470,stable,1.0
102,0.0,0,-0.88,-0.34,578,stable,1.0
103,0.0,0,-0.73,-0.2,782,stable,1.0
104,0.0,1,-0.6,-0.25,1345,stable,1.0
105,0.0,0,-0.98,-0.06,739,stable,1.0
106,1.0,0,-0.48,-0.39,836,stable,1.0
107,1.0,1,-0.35,-0.95,795,stable,1.0
108,0.0,1,-0.67,-0.85,516,stable,1.0
109,0.0,1,-0.54,-0.22,620,stable,1.0
110,1.0,0,-0.23,-0.9,1298,stable,1.0
111,0.0,1,-0.98,-0.41,945,stable,1.0
112,1.0,1,-0.58,-0.8,1244,stable,1.0
113,1.0,0,-0.52,-0.85,917,stable,1.0
114,0.0,0,-0.83,-0.15,997,stable,1.0
115,1.0,1,-0.18,-0.16,1010,stable,1.0
116,1.0,1,-0.56,-0.7,1144,stable,1.0
117,0.0,1,-0.59,-0.95,542,stable,1.0
118,0.0,1,-0.68,-0.18,617,stable,1.0
119,0.0,1,-0.3,-0.16,611,stable,1.0
120,0.0,0,-0.86,-0.37,1015,stable,2.0
121,0.0,1,-0.47,-0.44,702,stable,2.0
122,0.0,1,-0.03,-0.91,579,stable,2.0
123,0.0,0,-0.6,-0.1,1071,stable,2.0
124,0.0,1,-0.54,-0.84,1151,stable,2.0
125,1.0,1,-0.34,-0.95,1135,stable,2.0
126,0.0,0,-0.96,-0.28,502,stable,2.0
127,1.0,1,-0.83,-0.94,574,stable,2.0
128,0.0,1,-0.23,-0.86,608,stable,2.0
129,0.0,1,-0.99,-0.2,780,stable,2.0
130,0.0,1,-0.29,-0.91,685,stable,2.0
131,0.0,0,-0.88,-0.64,647,stable,2.0
132,1.0,1,-0.84,-0.8,897,stable,2.0
133,1.0,0,-0.61,-0.88,986,stable,2.0
134,1.0,1,-0.23,-0.77,599,stable,2.0
135,0.0,1,-0.87,-0.54,1439,stable,2.0
136,0.0,1,-0.25,-0.9,520,stable,2.0
137,0.0,0,-0.71,-0.44,572,stable,2.0
138,0.0,1,-0.42,-0.52,771,stable,2.0
139,1.0,1,-0.39,-0.94,1113,stable,2.0
140,0.0,1,-0.39,-0.24,758,stable,2.0
141,0.0,0,-0.2,-0.1,741,stable,2.0
142,0.0,0,-0.85,-0.43,765,stable,2.0
143,0.0,0,-0.77,-0.02,469,stable,2.0
144,1.0,1,-0.54,-0.87,1055,stable,2.0
145,1.0,1,-0.56,-0.57,726,stable,2.0
146,0.0,1,-0.5,-0.79,609,stable,2.0
147,0.0,1,-0.04,-0.88,663,stable,2.0
148,0.0,0,-0.4,-0.38,737,stable,2.0
149,1.0,1,-0.47,-0.86,988,stable,2.0
