Question,Questionnaire,Subscale,Min,Max,Rev
I feel pleasant,STAI,anxiety,2.0,4.0,1.0
I feel nervous and restless,STAI,anxiety,1.0,4.0,
I feel satisfied with myself,STAI,depression,1.0,4.0,1.0
I wish I could be as happy as others seem to be,STAI,depression,1.0,4.0,
I feel like a failure,STAI,depression,1.0,3.0,
I feel rested,STAI,depression,1.0,4.0,1.0
"I am 'calm, cool, and collected'",STAI,depression,1.0,4.0,1.0
I feel that difficulties are piling up so that I can't overcome them,STAI,anxiety,1.0,3.0,
I worry too much over something that really doesn't matter,STAI,anxiety,1.0,4.0,
I am happy,STAI,depression,1.0,4.0,1.0
I have disturbing thoughts,STAI,anxiety,1.0,3.0,
I lack self-confidence,STAI,depression,1.0,4.0,
I feel secure,STAI,depression,1.0,4.0,1.0
I make decisions easily,STAI,depression,1.0,4.0,1.0
I feel inadequate,STAI,depression,1.0,4.0,
I am content,STAI,depression,1.0,4.0,1.0
Some unimportant thought runs through my mind and bothers me,STAI,anxiety,1.0,4.0,
I take disappointments so keenly that I can't put them out of my mind,STAI,anxiety,1.0,4.0,
I am a steady person,STAI,depression,2.0,4.0,1.0
I get in a state of tension or turmoil as I think over my recent concerns and interests,STAI,anxiety,1.0,4.0,
Does your mood often go up and down? ,EPQ,epq,0.0,1.0,
Do you ever feel ‘just miserable’ for no reason? ,EPQ,epq,0.0,1.0,
Are you an irritable person? ,EPQ,epq,0.0,1.0,
Are your feelings easily hurt? ,EPQ,epq,0.0,1.0,
Do you often feel 'fed-up'? ,EPQ,epq,0.0,1.0,
Would you call yourself a nervous person? ,EPQ,epq,0.0,1.0,
Are you a worrier? ,EPQ,epq,0.0,1.0,
Would you call yourself tense or ‘highly-strung’? ,EPQ,epq,0.0,1.0,
Do you worry too long after an embarrassing experience? ,EPQ,epq,0.0,1.0,
Do you suffer from ‘nerves’? ,EPQ,epq,0.0,1.0,
Do you often feel lonely? ,EPQ,epq,0.0,1.0,
Are you often troubled about feelings of guilt? ,EPQ,epq,0.0,1.0,
"If I don’t have enough time to do everything, I don’t worry about it.",PSWQ,pswq,1.0,5.0,1.0
My worries overwhelm me.,PSWQ,pswq,1.0,5.0,
I don’t tend to worry about things. ,PSWQ,pswq,1.0,5.0,1.0
Many situations make me worry.,PSWQ,pswq,1.0,5.0,
"I know I shouldn’t worry about things, but I just can’t help it.",PSWQ,pswq,1.0,5.0,
"When I am under pressure, I worry a lot.",PSWQ,pswq,1.0,5.0,
I am always worrying about something.,PSWQ,pswq,1.0,5.0,
I find it easy to dismiss worrisome thoughts.,PSWQ,pswq,1.0,5.0,1.0
"As soon as I finish one task, I start to worry about everything else I have to do.",PSWQ,pswq,1.0,5.0,
I never worry about anything.,PSWQ,pswq,1.0,4.0,1.0
"When there is nothing more I can do about a concern, I don’t worry about it anymore. ",PSWQ,pswq,1.0,5.0,1.0
I’ve been a worrier all my life.,PSWQ,pswq,1.0,5.0,
I notice that I have been worrying about things.,PSWQ,pswq,1.0,5.0,
"Once I start worrying, I can’t stop.",PSWQ,pswq,1.0,5.0,
I worry all the time.,PSWQ,pswq,1.0,5.0,
I worry about projects until they are done.,PSWQ,pswq,1.0,5.0,
Startled easily,MASQ,anxious arousal,1.0,4.0,
Felt cheerful,MASQ,anhedonic,1.0,5.0,1.0
Hands were shaky,MASQ,anxious arousal,1.0,3.0,
Felt optimistic,MASQ,anhedonic,1.0,5.0,1.0
Felt really happy,MASQ,anhedonic,1.0,5.0,1.0
