"","Question","Questionnaire","Keep","Min","Max","Rev","Subscale","g","F1.","F2.","h2","u2","p2"
"X1","I feel pleasant","STAI","1","2","4"," 1","anxiety",0.37,0.36,0,"0.272959334862861","0.727040665137139","0.50849926477644"
"X2","I feel nervous and restless","STAI","1","1","4",NA,"anxiety",0.38,0,0.34,"0.270663631245068","0.729336368754932","0.535265315013263"
"X3","I feel satisfied with myself","STAI","1","1","4"," 1","depression",0.38,0.46,0,"0.355789814012518","0.644210185987482","0.413304272991001"
"X4","I wish I could be as happy as others seem to be","STAI","1","1","4",NA,"depression",0.38,0.31,0,"0.251382358709217","0.748617641290783","0.562376622332059"
"X5","I feel like a failure","STAI","1","1","3",NA,"depression",0.44,0.3,0,"0.324974901241212","0.675025098758788","0.601255799643443"
"X6","I feel rested","STAI","1","1","4"," 1","depression",0.24,0.21,0,"0.10335797649499","0.89664202350501","0.539333436145243"
"X7","I am 'calm, cool, and collected'","STAI","1","1","4"," 1","depression",0.31,0.26,0,"0.170817501588695","0.829182498411305","0.557505060095489"
"X8","I feel that difficulties are piling up so that I can't overcome them","STAI","1","1","3",NA,"anxiety",0.4,0.28,0,"0.2632351698362","0.736764830163799","0.600610312846046"
"X9","I worry too much over something that really doesn't matter","STAI","1","1","4",NA,"anxiety",0.38,0,0.28,"0.239404981029298","0.760595018970702","0.591741206667446"
"X10","I am happy","STAI","1","1","4"," 1","depression",0.38,0.43,0,"0.331812833464582","0.668187166535418","0.439280918177245"
"X11","I have disturbing thoughts","STAI","1","1","3",NA,"anxiety",0.25,0,0.35,"0.195084256665195","0.804915743334805","0.330200608592205"
"X12","I lack self-confidence","STAI","1","1","4",NA,"depression",0.33,0.26,0,"0.189724380530442","0.810275619469558","0.572566626676676"
"X13","I feel secure","STAI","1","1","4"," 1","depression",0.36,0.31,0,"0.240825602173194","0.759174397826806","0.552738889825465"
"X14","I make decisions easily","STAI","1","1","4"," 1","depression",0.24,0.22,0,"0.110522581385062","0.889477418614938","0.531157958455545"
"X15","I feel inadequate","STAI","1","1","4",NA,"depression",0.39,0.24,0,"0.248140406879957","0.751859593120043","0.610205842972712"
"X16","I am content","STAI","1","1","4"," 1","depression",0.38,0.32,0,"0.257258892841732","0.742741107158268","0.559478960568559"
"X17","Some unimportant thought runs through my mind and bothers me","STAI","1","1","4",NA,"anxiety",0.33,0,0.28,"0.195339321844406","0.804660678155594","0.552730585185451"
"X18","I take disappointments so keenly that I can't put them out of my mind","STAI","1","1","4",NA,"anxiety",0.33,0,0.21,"0.184088709231287","0.815911290768713","0.608680196773285"
"X19","I am a steady person","STAI","1","2","4"," 1","depression",0.42,0.27,0.2,"0.287467593625388","0.712532406374612","0.608098202789198"
"X20","I get in a state of tension or turmoil as I think over my recent concerns and interests","STAI","1","1","4",NA,"anxiety",0.41,0.2,0.26,"0.276217783729105","0.723782216270895","0.608327215281674"
"X21","Does your mood often go up and down? ","EPQ","1","0","1",NA,"epq",0.37,0.28,0,"0.237271144123029","0.762728855876971","0.590148051787732"
"X22","Do you ever feel ‘just miserable’ for no reason? ","EPQ","1","0","1",NA,"epq",0.37,0.21,0.2,"0.221405340396407","0.778594659603593","0.613266887954094"
"X23","Are you an irritable person? ","EPQ","1","0","1",NA,"epq",0.19,0,0,"0.0698408343669431","0.930159165633057","0.521598434024731"
"X24","Are your feelings easily hurt? ","EPQ","1","0","1",NA,"epq",0.34,0,0.26,"0.19742502972536","0.80257497027464","0.583812218251575"
"X25","Do you often feel 'fed-up'? ","EPQ","1","0","1",NA,"epq",0.34,0,0.25,"0.197258311894165","0.802741688105835","0.592890426137691"
"X26","Would you call yourself a nervous person? ","EPQ","1","0","1",NA,"epq",0.31,0,0.21,"0.161923933439397","0.838076066560603","0.6033099281435"
"X27","Are you a worrier? ","EPQ","1","0","1",NA,"epq",0.37,0,0.26,"0.223841861224522","0.776158138775478","0.597655579209762"
