"","Question","Questionnaire","Keep","Min","Max","Rev","Subscale","g","F1.","F2.","h2","u2","p2"
"X1","I feel pleasant","STAI","1","2","4"," 1","anxiety",0.35,0.4,0,"0.282959974173788","0.717040025826212","0.433665917801436"
"X2","I feel nervous and restless","STAI","1","1","4",NA,"anxiety",0.38,0,0.27,"0.234226388886815","0.765773611113185","0.626333109405416"
"X3","I feel satisfied with myself","STAI","1","1","4"," 1","depression",0.35,0.3,0,"0.215614068828285","0.784385931171715","0.574580409773486"
"X4","I wish I could be as happy as others seem to be","STAI","1","1","4",NA,"depression",0.34,0.39,0,"0.272060038109269","0.727939961890731","0.42662232255816"
"X5","I feel like a failure","STAI","1","1","3",NA,"depression",0.37,0.31,0,"0.239441263340501","0.760558736659499","0.586597613574683"
"X6","I feel rested","STAI","1","1","4"," 1","depression",0.27,0,0,"0.108359951603263","0.891640048396737","0.654177075261875"
"X7","I am 'calm, cool, and collected'","STAI","1","1","4"," 1","depression",0.4,0.29,0,"0.257340235902495","0.742659764097505","0.621912607945017"
"X8","I feel that difficulties are piling up so that I can't overcome them","STAI","1","1","3",NA,"anxiety",0.26,0,0,"0.106797256787682","0.893202743212318","0.611526839808632"
"X9","I worry too much over something that really doesn't matter","STAI","1","1","4",NA,"anxiety",0.34,0,0.24,"0.184388913685851","0.815611086314149","0.627632999721647"
"X10","I am happy","STAI","1","1","4"," 1","depression",0.29,0.32,0,"0.187687200319483","0.812312799680517","0.457491875777839"
"X11","I have disturbing thoughts","STAI","1","1","3",NA,"anxiety",0.34,0.2,0,"0.17617954959887","0.82382045040113","0.656027338228687"
"X12","I lack self-confidence","STAI","1","1","4",NA,"depression",0.27,0,0,"0.108674044498042","0.891325955501957","0.650265600116976"
"X13","I feel secure","STAI","1","1","4"," 1","depression",0.37,0.37,0,"0.273194541700773","0.726805458299227","0.49620567364781"
"X14","I make decisions easily","STAI","1","1","4"," 1","depression",0.32,0,0,"0.151529182396815","0.848470817603185","0.663511804904271"
"X15","I feel inadequate","STAI","1","1","4",NA,"depression",0.29,0,0,"0.125063987695175","0.874936012304825","0.65564179098425"
"X16","I am content","STAI","1","1","4"," 1","depression",0.37,0.32,0,"0.244881929340589","0.755118070659411","0.563094764787118"
"X17","Some unimportant thought runs through my mind and bothers me","STAI","1","1","4",NA,"anxiety",0.29,0,0,"0.128623163273073","0.871376836726927","0.638173040535137"
"X18","I take disappointments so keenly that I can't put them out of my mind","STAI","1","1","4",NA,"anxiety",0.38,0,0.21,"0.222382800344264","0.777617199655736","0.66081401143218"
"X19","I am a steady person","STAI","1","2","4"," 1","depression",0.42,0.28,0,"0.278382809586318","0.721617190413682","0.638875484705093"
"X20","I get in a state of tension or turmoil as I think over my recent concerns and interests","STAI","1","1","4",NA,"anxiety",0.27,0.2,0,"0.118502549470216","0.881497450529784","0.619037610238196"
"X21","Does your mood often go up and down? ","EPQ","1","0","1",NA,"epq",0.3,0,0.25,"0.154119706704418","0.845880293295582","0.567007308109733"
"X22","Do you ever feel ‘just miserable’ for no reason? ","EPQ","1","0","1",NA,"epq",0.31,0.27,0,"0.175408087269872","0.824591912730128","0.562371001710683"
"X23","Are you an irritable person? ","EPQ","1","0","1",NA,"epq",0.38,0,0.3,"0.239192390224168","0.760807609775832","0.594513579629166"
"X24","Are your feelings easily hurt? ","EPQ","1","0","1",NA,"epq",0.26,0,0.25,"0.128059200647009","0.871940799352991","0.527489211245896"
"X25","Do you often feel 'fed-up'? ","EPQ","1","0","1",NA,"epq",0.39,0,0.24,"0.232423400543707","0.767576599456293","0.652547242793632"
"X26","Would you call yourself a nervous person? ","EPQ","1","0","1",NA,"epq",0.37,0,0.31,"0.239935188919295","0.760064811080705","0.573044494046112"
"X27","Are you a worrier? ","EPQ","1","0","1",NA,"epq",0.25,0,0.28,"0.14227198564261","0.85772801435739","0.441617714914819"
"X28","Would you call yourself tense or ‘highly-strung’? ","EPQ","1","0","1",NA,"epq",0.32,0,0.29,"0.18971154433196","0.81028845566804","0.554702709676415"
"X29","Do you worry too long after an embarrassing experience? ","EPQ","1","0","1",NA,"epq",0.3,0,0.2,"0.1382761773271","0.8617238226729","0.638575454506689"
"X30","Do you suffer from ‘nerves’? ","EPQ","1","0","1",NA,"epq",0.37,0,0.24,"0.209561186425534","0.790438813574466","0.646777690199744"
"X31","Do you often feel lonely? ","EPQ","1","0","1",NA,"epq",0.19,0,0,"0.0538399838988226","0.946160016101177","0.663278277798393"
"X32","Are you often troubled about feelings of guilt? ","EPQ","1","0","1",NA,"epq",0.4,0,0.26,"0.241898612942421","0.758101387057579","0.645753162666844"
"X33","If I don’t have enough time to do everything, I don’t worry about it.","PSWQ","1","1","5"," 1","pswq",0.25,0,0.3,"0.150043290777269","0.84995670922273","0.405173980389618"
"X34","My worries overwhelm me.","PSWQ","1","1","5",NA,"pswq",0.39,0,0.25,"0.235875913953775","0.764124086046225","0.646259023691152"
"X35","I don’t tend to worry about things. ","PSWQ","1","1","5"," 1","pswq",0.24,0,0.29,"0.146032859737397","0.853967140262603","0.410422871720147"
"X36","Many situations make me worry.","PSWQ","1","1","5",NA,"pswq",0.43,0,0.43,"0.367419062090096","0.632580937909904","0.502542031345627"
"X37","I know I shouldn’t worry about things, but I just can’t help it.","PSWQ","1","1","5",NA,"pswq",0.37,0,0.43,"0.325031574016073","0.674968425983927","0.428863533730014"
"X38","When I am under pressure, I worry a lot.","PSWQ","1","1","5",NA,"pswq",0.36,0,0.35,"0.251322559613083","0.748677440386917","0.508632881096707"
"X39","I am always worrying about something.","PSWQ","1","1","5",NA,"pswq",0.42,0,0.42,"0.353494281458762","0.646505718541238","0.496415137340791"
"X40","I find it easy to dismiss worrisome thoughts.","PSWQ","1","1","5"," 1","pswq",0.3,0,0.32,"0.195761845584068","0.804238154415932","0.47150391972495"
"X41","As soon as I finish one task, I start to worry about everything else I have to do.","PSWQ","1","1","5",NA,"pswq",0.41,0,0.4,"0.32327514853056","0.67672485146944","0.51422385981651"
"X42","I never worry about anything.","PSWQ","1","1","4"," 1","pswq",0.31,0,0.3,"0.18269521232528","0.81730478767472","0.520437282275745"
"X43","When there is nothing more I can do about a concern, I don’t worry about it anymore. ","PSWQ","1","1","5"," 1","pswq",0.39,0,0.34,"0.270723003094573","0.729276996905427","0.568129483099185"
"X44","I’ve been a worrier all my life.","PSWQ","1","1","5",NA,"pswq",0.41,0,0.5,"0.42538083772108","0.574619162278921","0.397616717943565"
"X45","I notice that I have been worrying about things.","PSWQ","1","1","5",NA,"pswq",0.35,0,0.43,"0.31225620362099","0.68774379637901","0.387037080978524"
