"","mevpea","sevpea","qevpea","sqevpea"
"V1",4.86094285013234,0.20994758527716,4.55394139911487,0.0443658615165812
"V2",4.56128351299334,0.144977699211928,4.33795664415801,0.030636506334368
"V3",4.33540165199566,0.130511094370479,4.15056767808469,0.0275794414666603
"V4",4.15749984392641,0.111187528866677,3.99085300616932,0.0234960097376576
"V5",4.00121712330993,0.103928441809683,3.83940012781322,0.0219620285266698
"V6",3.84902534779151,0.0896593572766281,3.71739609577627,0.0189467034038486
"V7",3.7060430887498,0.0851372888975868,3.5660953166588,0.0179911055616147
"V8",3.58211378263782,0.0806881158470716,3.46356596548727,0.0170509118691658
"V9",3.46609221171905,0.0691384213255528,3.37001666171304,0.0146102448473277
"V10",3.35221582400352,0.0630047080464344,3.25928593086698,0.0133140762175979
"V11",3.25050228872746,0.0653049775637238,3.15213533529693,0.0138001662991777
"V12",3.14672254746178,0.0665338877726751,3.04233052334934,0.0140598580697436
"V13",3.06073187159001,0.064413370273616,2.96147045618612,0.0136117529601633
"V14",2.96423666554205,0.0672775256368158,2.85906862934127,0.0142170026944622
"V15",2.87090748307914,0.0668170475465308,2.76862303115199,0.0141196950395157
"V16",2.77488114601719,0.059768377695708,2.67761246506569,0.0126301789297453
"V17",2.68815997547836,0.0524441715353463,2.60475965654338,0.0110824368311614
"V18",2.60964130048393,0.0520677907250245,2.5267583099653,0.0110029005083874
"V19",2.53379467460491,0.0525645272349237,2.45153958560022,0.0111078702472835
"V20",2.45736894748975,0.0535981605795002,2.37912399059818,0.0113262963547515
"V21",2.39011423366141,0.0440904401530226,2.32460839309917,0.00931713674844972
"V22",2.31899210274335,0.0476058067518636,2.23905323876992,0.0100599996277646
"V23",2.24916841264835,0.043786335100253,2.17701210272671,0.0092528736484962
"V24",2.18857553259157,0.0416419264577603,2.12728544396374,0.00879971989232321
"V25",2.11308419889399,0.0390694750264839,2.04764103061043,0.00825611266860844
"V26",2.04602066147153,0.0400518849757481,1.98014504947059,0.00846371431215213
"V27",1.98456229538947,0.042564994475025,1.92627359001898,0.0089947814729091
"V28",1.92157107467734,0.0393471682672466,1.86083341304263,0.00831479445743447
"V29",1.85786828201664,0.0394714513171453,1.78852944575919,0.00834105779632157
"V30",1.80320852703969,0.0371660898071995,1.74688949258714,0.00785389168121293
"V31",1.74689151901246,0.0374892299701046,1.69723045795058,0.0079221772568673
"V32",1.68869436288088,0.0362919474725462,1.6354002194457,0.00766916901477306
"V33",1.63619739817106,0.0371516771713574,1.58176452972162,0.00785084602100678
"V34",1.58391564305421,0.0359125048189554,1.534306968484,0.00758898566710336
"V35",1.53059726696914,0.0370241611262998,1.47343343373063,0.00782389948962038
"V36",1.47874473852439,0.0320377989169896,1.42929844367522,0.00677018765503214
"V37",1.43334133306754,0.0329870943242126,1.38632970441192,0.00697079157490852
"V38",1.38167451633485,0.0320433837808519,1.32934115035279,0.00677136784148855
