"","x"
"1",3.94197629916332
"2",3.60307565201513
"3",3.38177569121648
"4",3.22845386216077
"5",3.10727493521158
"6",2.96483304152378
"7",2.82822706346998
"8",2.68551364413097
"9",2.58769395639503
"10",2.48262753895221
"11",2.37474248470526
"12",2.24674370820091
"13",2.1619955333477
"14",2.05141992889428
"15",1.96769527138315
"16",1.87850350190185
"17",1.78768247920367
"18",1.71902808077148
"19",1.63863842732135
"20",1.56069914512406
"21",1.46642953185786
"22",1.39252994364773
"23",1.32346445962607
"24",1.25464006463097
"25",1.18681468565991
"26",1.11957677343148
"27",1.04530230562575
"28",0.991443276588484
"29",0.932595909596821
"30",0.877730305033205
"31",0.809503481714271
"32",0.74823618191626
"33",0.693176264954512
"34",0.646618672683182
"35",0.584605106070945
"36",0.540441532705619
"37",0.491437845658499
"38",0.442878051491837
"39",0.378065750115558
"40",0.347655197846387
"41",0.301631621073017
"42",0.248617747409428
"43",0.208688643784088
"44",0.172053294003275
"45",0.131113123905342
"46",0.0947958356602813
"47",0.0466283004677866
"48",0.00482428825683968
"49",-0.0338911448395834
"50",-0.0706465486520921
"51",-0.115518125589113
"52",-0.149695734596197
"53",-0.186943561055607
"54",-0.218069102975632
"55",-0.258819674141147
"56",-0.284844137644727
"57",-0.318960242021816
"58",-0.348860344140371
"59",-0.377358544505446
"60",-0.403614934370874
"61",-0.437391131312885
"62",-0.465369984150544
"63",-0.48996314062177
"64",-0.515616553906093
"65",-0.540632942489531
"66",-0.573650566663426
"67",-0.59934141127619
"68",-0.622418401287584
"69",-0.647292378571016
"70",-0.668482615227186
"71",-0.688706639077103
"72",-0.708933960087719
"73",-0.729738257183781
"74",-0.74941900219378
"75",-0.767610418964012
"76",-0.787247687803984
"77",-0.806757809477322
"78",-0.82865416755495
"79",-0.846299012752629
"80",-0.864069303839999
"81",-0.877975488517325
"82",-0.895051037484765
"83",-0.911293801207619
"84",-0.926365816942201
"85",-0.938750433779552
"86",-0.949808585513838
"87",-0.9609448913718
"88",-0.968144724197401
"89",-0.974088814656752
"90",-0.979926006338844
"91",-0.984266108830573
"92",-0.987948942653704
"93",-0.991101466835679
"94",-0.994070141338607
"95",-0.997026816012612
"96",-0.999115965189017
"97",-1.00216147994519
"98",-1.00476723694056
"99",-1.00706738805117
"100",-1.00946912652712
"101",-1.01182430980582
"102",-1.01388880324856
"103",-1.01629135403989
"104",-1.01852543283866
"105",-1.0205373866087
"106",-1.02318922279737
"107",-1.02550252685435
"108",-1.02744583332879
"109",-1.02941917828716
"110",-1.03176698604208
"111",-1.03390539789627
"112",-1.03628209694927
"113",-1.03891126764602
"114",-1.04140697784753
"115",-1.04413100287985
"116",-1.04640725537543
"117",-1.04864590317746
"118",-1.05153873900907
"119",-1.05468834985156
"120",-1.05729420823732
"121",-1.06045928141528
"122",-1.06382894147332
"123",-1.06695170541009
"124",-1.07058636353077
"125",-1.07502168693041
"126",-1.08074839123338
"127",-1.087689055839
"128",-1.09707127537233
