"","x"
"1",3.84124111871835
"2",3.45486162967089
"3",3.22405631666236
"4",3.05521104634081
"5",2.90803373003255
"6",2.78809825790813
"7",2.67526527333153
"8",2.56166120623127
"9",2.4326213067206
"10",2.33565511977691
"11",2.21796563705794
"12",2.1423730222927
"13",2.03774692731353
"14",1.93278534172243
"15",1.86024139568414
"16",1.77776014311189
"17",1.70905354175226
"18",1.61733495669982
"19",1.5452962655204
"20",1.46398223802157
"21",1.392645085472
"22",1.33978405973664
"23",1.26964110504738
"24",1.18867554599475
"25",1.12820670807485
"26",1.06749517792487
"27",1.00359407798411
"28",0.951174871004386
"29",0.900210280239537
"30",0.84671185416721
"31",0.794258319223794
"32",0.726417545469596
"33",0.672356496469566
"34",0.619304254889865
"35",0.557817124232677
"36",0.511675721534929
"37",0.462925013321877
"38",0.421999005154948
"39",0.372614094724531
"40",0.33676374266478
"41",0.289386980318522
"42",0.243623448531999
"43",0.205689811312772
"44",0.16372967169172
"45",0.12835457751852
"46",0.072085037862441
"47",0.0375144666241825
"48",0.0089349440270161
"49",-0.0346189678027568
"50",-0.0743818149025705
"51",-0.111169386279795
"52",-0.139135409734085
"53",-0.17221923722376
"54",-0.207685029052995
"55",-0.24291574990438
"56",-0.272594183833515
"57",-0.30120685614137
"58",-0.333343335073181
"59",-0.359421494888238
"60",-0.389717659857643
"61",-0.419348950248014
"62",-0.442066874635818
"63",-0.468196753540028
"64",-0.491723141438834
"65",-0.521429378585601
"66",-0.543981656674536
"67",-0.567153591241791
"68",-0.587776042636206
"69",-0.60934303594712
"70",-0.636754114086693
"71",-0.654080734094447
"72",-0.671957493093727
"73",-0.694308736921243
"74",-0.716108545173879
"75",-0.734246194151825
"76",-0.751610549502685
"77",-0.768381085338694
"78",-0.78407188305443
"79",-0.802806807216748
"80",-0.821818788566106
"81",-0.834770186316118
"82",-0.851790400158272
"83",-0.870046928846418
"84",-0.885565460002681
"85",-0.899442869167067
"86",-0.91425915938501
"87",-0.923236272516307
"88",-0.930970421804671
"89",-0.936868162432112
"90",-0.941529940405027
"91",-0.945636105728003
"92",-0.949228510604999
"93",-0.952531391441239
"94",-0.955179534731345
"95",-0.95745310165539
"96",-0.960040466569528
"97",-0.961972895216614
"98",-0.964017447906476
"99",-0.966040712613261
"100",-0.96736417310981
"101",-0.968962784395243
"102",-0.970457660508487
"103",-0.972281317056435
"104",-0.973769027773366
"105",-0.975161104422696
"106",-0.976314995229339
"107",-0.977590255628273
"108",-0.978845255579379
"109",-0.979860778707974
"110",-0.980790431861354
"111",-0.982182783355612
"112",-0.983073933257214
"113",-0.984031965225364
"114",-0.984869538718181
"115",-0.985861802594377
"116",-0.986677377041409
"117",-0.987601093896683
"118",-0.988432284282338
"119",-0.989129427243273
"120",-0.989889638376447
"121",-0.990634717889818
"122",-0.991287267048096
"123",-0.991991134408852
"124",-0.992626035950737
"125",-0.993320214939749
"126",-0.994064876178672
"127",-0.994763616103491
"128",-0.995603828793458
